orf_id_a	orf_id_b	Y2H_assay_version	category	result	num_screens
9	6112	1	HuRI	0.0	1
9	6869	1	HuRI		1
9	8359	1	HuRI	0.0	1
9	72137	1	HuRI	0.0	1
17	5081	1	HuRI	0.0	1
26	12438	1	HuRI	0.0	1
48	11746	1	HuRI	0.0	1
58	4728	1	HuRI	0.0	1
65	3769	1	HuRI	0.0	2
65	9304	1	HuRI	0.0	1
65	52718	1	HuRI	1.0	1
69	1427	1	HuRI		1
69	3364	1	HuRI	0.0	2
78	56176	1	HuRI	0.0	2
86	6981	1	HuRI	0.0	2
86	55307	1	HuRI	0.0	2
86	71841	1	HuRI	0.0	1
88	3990	1	HuRI	0.0	3
93	14934	1	HuRI	0.0	2
93	71454	1	HuRI	0.0	3
95	405	1	HuRI	0.0	1
95	2374	1	HuRI	0.0	1
100	5174	1	HuRI		1
100	5629	1	HuRI	0.0	1
100	9515	1	HuRI		1
100	10124	1	HuRI	0.0	2
100	11356	1	HuRI	0.0	2
100	54502	1	HuRI	0.0	1
100	55254	1	HuRI	0.0	1
100	71268	1	HuRI	0.0	2
119	489	1	HuRI		1
120	100009500	1	HuRI	1.0	3
120	100016009	1	HuRI	0.0	3
122	7233	1	HuRI	0.0	3
127	100009527	1	HuRI	0.0	1
130	5000	1	HuRI	0.0	3
137	71880	1	HuRI	0.0	1
152	6725	1	HuRI	0.0	2
152	9159	1	HuRI	0.0	3
152	11110	1	HuRI	0.0	1
152	12422	1	HuRI	0.0	2
152	12853	1	HuRI	1.0	2
152	13969	1	HuRI	0.0	2
152	71011	1	HuRI	0.0	1
154	5892	1	HuRI	0.0	3
154	71959	1	HuRI	0.0	2
171	4635	1	HuRI	0.0	1
172	6131	1	HuRI	0.0	1
193	2991	1	HuRI	0.0	3
193	13551	1	HuRI	0.0	1
197	10868	1	HuRI		3
199	7677	1	HuRI		1
199	53212	1	HuRI	0.0	1
200	3772	1	HuRI	0.0	3
201	2534	1	HuRI	0.0	2
201	8167	1	HuRI	0.0	1
201	14291	1	HuRI		3
206	7319	1	HuRI	0.0	2
206	56711	1	HuRI	0.0	1
208	3672	1	HuRI	0.0	3
208	11110	1	HuRI	0.0	1
208	56214	1	HuRI		3
234	1734	1	HuRI	0.0	1
234	12260	1	HuRI		1
234	56711	1	HuRI	1.0	3
240	4161	1	HuRI	0.0	1
244	72067	1	HuRI	0.0	1
252	4320	1	HuRI	0.0	1
258	824	1	HuRI		1
259	100014396	1	HuRI	0.0	1
268	268	1	HuRI	1.0	2
268	10786	1	HuRI		2
279	524	1	HuRI	0.0	1
279	3585	1	HuRI	0.0	1
279	11110	1	HuRI	0.0	2
279	12339	1	HuRI	0.0	2
279	54990	1	HuRI	0.0	1
282	3034	1	HuRI	0.0	1
313	70025	1	HuRI	0.0	3
313	100015911	1	HuRI		1
313	100064148	1	HuRI		1
326	9647	1	HuRI	0.0	3
326	14860	1	HuRI	0.0	1
343	4786	1	HuRI	0.0	2
349	6644	1	HuRI		3
361	361	1	HuRI	0.0	1
365	824	1	HuRI		1
365	13795	1	HuRI		1
365	53942	1	HuRI	0.0	1
365	100068172	1	HuRI		1
405	2661	1	HuRI	0.0	1
405	5673	1	HuRI	0.0	1
416	6836	1	HuRI	0.0	3
416	100016009	1	HuRI	0.0	2
439	3598	1	HuRI		3
442	2026	1	HuRI	0.0	1
442	4960	1	HuRI		1
442	13561	1	HuRI	0.0	1
442	100000407	1	HuRI	0.0	2
443	3453	1	HuRI		2
455	7442	1	HuRI	0.0	1
459	5892	1	HuRI		3
467	9304	1	HuRI	0.0	1
467	52987	1	HuRI		2
467	71960	1	HuRI	0.0	3
482	54082	1	HuRI	0.0	1
482	70550	1	HuRI	0.0	1
493	10352	1	HuRI		2
501	6436	1	HuRI	1.0	3
524	55625	1	HuRI		1
525	784	1	HuRI	0.0	3
525	3202	1	HuRI	0.0	1
525	5591	1	HuRI	0.0	1
525	7682	1	HuRI	0.0	1
525	7881	1	HuRI	0.0	2
525	10460	1	HuRI	0.0	3
525	11229	1	HuRI	0.0	3
525	14862	1	HuRI	0.0	3
525	54668	1	HuRI	0.0	1
525	100000407	1	HuRI	0.0	2
538	9637	1	HuRI	0.0	1
549	4787	1	HuRI	0.0	2
563	856	1	HuRI	0.0	1
570	2396	1	HuRI	1.0	3
573	10001	1	HuRI		2
573	10821	1	HuRI	0.0	2
573	11110	1	HuRI	0.0	2
573	11723	1	HuRI	0.0	1
573	53030	1	HuRI	0.0	2
573	55224	1	HuRI	0.0	2
590	2747	1	HuRI		3
593	7011	1	HuRI	0.0	1
604	11922	1	HuRI	1.0	3
604	100068995	1	HuRI	0.0	1
610	5127	1	HuRI	1.0	3
612	9868	1	HuRI	0.0	2
657	4211	1	HuRI	1.0	1
665	4670	1	HuRI	1.0	3
675	100064142	1	HuRI	0.0	1
677	54668	1	HuRI	0.0	1
747	100000407	1	HuRI	0.0	1
754	2057	1	HuRI	0.0	1
768	5143	1	HuRI	0.0	1
778	6023	1	HuRI	0.0	3
784	3787	1	HuRI	0.0	1
784	4354	1	HuRI	0.0	2
784	6195	1	HuRI	0.0	3
784	12339	1	HuRI	0.0	3
784	53030	1	HuRI	0.0	3
784	53203	1	HuRI	0.0	1
784	71842	1	HuRI	0.0	2
784	100000245	1	HuRI	1.0	2
787	12333	1	HuRI	0.0	1
789	2940	1	HuRI	0.0	1
791	5143	1	HuRI	1.0	1
791	56717	1	HuRI	0.0	1
791	100064207	1	HuRI		2
798	3171	1	HuRI	1.0	2
811	56644	1	HuRI	0.0	1
811	71767	1	HuRI		2
812	2421	1	HuRI	0.0	2
818	4480	1	HuRI		1
820	6309	1	HuRI	0.0	1
820	14218	1	HuRI	0.0	1
820	55756	1	HuRI	0.0	1
820	70363	1	HuRI	0.0	2
820	71881	1	HuRI		1
824	1021	1	HuRI	0.0	1
824	1141	1	HuRI		1
824	2029	1	HuRI	0.0	2
824	2546	1	HuRI		1
824	2911	1	HuRI		1
824	3043	1	HuRI	0.0	1
824	3220	1	HuRI	0.0	1
824	3577	1	HuRI		1
824	3933	1	HuRI	0.0	1
824	4251	1	HuRI		1
824	4556	1	HuRI	0.0	1
824	5137	1	HuRI		1
824	5204	1	HuRI	0.0	1
824	5342	1	HuRI		1
824	5392	1	HuRI	0.0	1
824	5902	1	HuRI	0.0	1
824	7804	1	HuRI		1
824	7992	1	HuRI	0.0	1
824	8052	1	HuRI	0.0	1
824	8349	1	HuRI		1
824	8484	1	HuRI	0.0	1
824	8955	1	HuRI	0.0	1
824	9538	1	HuRI		1
824	10255	1	HuRI		1
824	11403	1	HuRI	0.0	1
824	11891	1	HuRI	0.0	1
824	12088	1	HuRI		1
824	12240	1	HuRI		1
824	13233	1	HuRI		1
824	13387	1	HuRI		1
824	14338	1	HuRI		1
824	14957	1	HuRI		1
824	53013	1	HuRI		1
824	53154	1	HuRI		1
824	54003	1	HuRI	0.0	1
824	54072	1	HuRI		1
824	54529	1	HuRI	0.0	1
824	55719	1	HuRI		1
824	55742	1	HuRI	0.0	1
824	56104	1	HuRI	0.0	1
824	56115	1	HuRI	0.0	1
824	56455	1	HuRI	0.0	1
824	56725	1	HuRI	0.0	1
824	70487	1	HuRI		1
824	71257	1	HuRI	0.0	1
824	71686	1	HuRI	0.0	3
824	100016218	1	HuRI		1
824	100068190	1	HuRI		1
856	2078	1	HuRI	0.0	1
856	8013	1	HuRI		1
856	54692	1	HuRI	0.0	3
856	55625	1	HuRI		1
856	100064148	1	HuRI	0.0	2
869	3392	1	HuRI	0.0	2
869	3692	1	HuRI		1
869	3971	1	HuRI	0.0	2
869	53345	1	HuRI		1
899	10017	1	HuRI	0.0	3
918	100066360	1	HuRI		1
925	14983	1	HuRI	0.0	2
931	931	1	HuRI	0.0	3
936	9232	1	HuRI	1.0	3
956	3063	1	HuRI	0.0	1
956	4611	1	HuRI	0.0	1
956	9634	1	HuRI		1
956	12706	1	HuRI	0.0	2
956	54962	1	HuRI	0.0	1
956	70774	1	HuRI	0.0	1
961	1227	1	HuRI	0.0	2
978	10302	1	HuRI	0.0	3
980	52852	1	HuRI	0.0	2
991	6704	1	HuRI	0.0	1
1011	10876	1	HuRI	0.0	3
1024	12387	1	HuRI	0.0	2
1024	72137	1	HuRI	0.0	1
1039	1074	1	HuRI	0.0	2
1039	13726	1	HuRI	1.0	1
1047	53053	1	HuRI		1
1047	55664	1	HuRI		1
1067	13600	1	HuRI	0.0	1
1067	56711	1	HuRI	1.0	2
1070	2018	1	HuRI	0.0	2
1074	2029	1	HuRI	0.0	2
1074	3202	1	HuRI	0.0	1
1074	3392	1	HuRI	0.0	1
1074	4516	1	HuRI	0.0	3
1074	5424	1	HuRI	0.0	2
1074	5439	1	HuRI	0.0	2
1074	7916	1	HuRI	0.0	3
1074	8141	1	HuRI	0.0	2
1074	9159	1	HuRI	0.0	1
1074	11204	1	HuRI	0.0	1
1074	11356	1	HuRI	0.0	2
1074	12230	1	HuRI	0.0	2
1074	13612	1	HuRI	0.0	2
1074	14495	1	HuRI	0.0	1
1074	53053	1	HuRI	0.0	3
1074	56039	1	HuRI	0.0	2
1074	70870	1	HuRI	0.0	1
1074	71174	1	HuRI	0.0	1
1077	3769	1	HuRI	0.0	1
1094	12186	1	HuRI	0.0	2
1094	71603	1	HuRI	0.0	1
1099	1496	1	HuRI	0.0	2
1099	3971	1	HuRI	0.0	1
1099	100064207	1	HuRI	0.0	2
1108	1863	1	HuRI	0.0	3
1108	8327	1	HuRI	1.0	3
1134	9746	1	HuRI	0.0	2
1134	13561	1	HuRI	0.0	2
1135	5093	1	HuRI	0.0	1
1137	56119	1	HuRI	1.0	3
1155	7845	1	HuRI	0.0	2
1184	1496	1	HuRI	0.0	1
1184	5357	1	HuRI		3
1190	4406	1	HuRI	0.0	2
1190	4933	1	HuRI	0.0	1
1190	5348	1	HuRI	0.0	1
1190	7175	1	HuRI	0.0	3
1190	9635	1	HuRI	0.0	3
1190	12339	1	HuRI	0.0	1
1190	100015180	1	HuRI	0.0	2
1212	100014442	1	HuRI	1.0	1
1227	2007	1	HuRI	0.0	2
1227	5434	1	HuRI	0.0	2
1227	9305	1	HuRI	0.0	3
1227	9515	1	HuRI		1
1227	12337	1	HuRI		2
1227	12343	1	HuRI		1
1227	14735	1	HuRI	0.0	1
1227	56482	1	HuRI	0.0	1
1231	13662	1	HuRI	0.0	2
1231	100068172	1	HuRI	0.0	1
1260	100016009	1	HuRI	0.0	1
1277	2029	1	HuRI	0.0	2
1295	2544	1	HuRI	0.0	1
1317	8365	1	HuRI	0.0	2
1317	11062	1	HuRI	0.0	2
1317	12100	1	HuRI		1
1317	12339	1	HuRI		2
1398	3769	1	HuRI	0.0	2
1414	13600	1	HuRI	0.0	1
1425	8359	1	HuRI	1.0	2
1427	1596	1	HuRI	0.0	2
1427	12452	1	HuRI	0.0	1
1427	13561	1	HuRI	0.0	2
1427	56141	1	HuRI	0.0	2
1427	72137	1	HuRI	0.0	1
1446	55237	1	HuRI	0.0	2
1454	10460	1	HuRI		1
1454	13118	1	HuRI	0.0	2
1454	56541	1	HuRI	0.0	3
1496	4535	1	HuRI	0.0	2
1496	11532	1	HuRI	0.0	3
1496	71484	1	HuRI	1.0	1
1535	9378	1	HuRI		1
1549	10460	1	HuRI		1
1549	54692	1	HuRI	0.0	2
1549	56529	1	HuRI	1.0	1
1549	56711	1	HuRI		1
1573	3434	1	HuRI	0.0	1
1576	72204	1	HuRI	0.0	1
1578	4664	1	HuRI	0.0	1
1579	6907	1	HuRI	0.0	1
1592	13308	1	HuRI		2
1596	1991	1	HuRI	0.0	2
1596	4573	1	HuRI	0.0	1
1596	4881	1	HuRI	0.0	1
1596	5949	1	HuRI	0.0	1
1596	10146	1	HuRI	0.0	1
1596	10163	1	HuRI	0.0	1
1596	10280	1	HuRI	0.0	1
1596	11422	1	HuRI	0.0	1
1596	53321	1	HuRI	0.0	1
1596	54030	1	HuRI	0.0	3
1596	54082	1	HuRI	0.0	1
1596	56316	1	HuRI	1.0	2
1596	71930	1	HuRI	0.0	1
1596	100000034	1	HuRI		2
1596	100069795	1	HuRI	0.0	1
1598	2374	1	HuRI	0.0	1
1602	1774	1	HuRI	0.0	2
1602	100068172	1	HuRI	0.0	1
1606	2961	1	HuRI	0.0	1
1611	2991	1	HuRI	0.0	1
1611	11356	1	HuRI	0.0	2
1611	14979	1	HuRI	0.0	1
1611	100066358	1	HuRI	0.0	1
1638	55039	1	HuRI	0.0	2
1668	2208	1	HuRI	0.0	1
1668	7171	1	HuRI	0.0	1
1668	10101	1	HuRI	0.0	1
1668	11788	1	HuRI	0.0	2
1668	13835	1	HuRI	0.0	1
1668	55699	1	HuRI		2
1668	56407	1	HuRI	0.0	1
1684	4997	1	HuRI	1.0	3
1703	3015	1	HuRI		1
1703	100067220	1	HuRI	0.0	1
1706	100009273	1	HuRI	0.0	3
1724	12541	1	HuRI	0.0	1
1724	100066360	1	HuRI	0.0	2
1734	100000407	1	HuRI		1
1768	100069089	1	HuRI	0.0	1
1769	3907	1	HuRI	0.0	1
1769	55237	1	HuRI		3
1769	55944	1	HuRI	0.0	1
1769	56492	1	HuRI	0.0	3
1769	56616	1	HuRI		3
1774	3453	1	HuRI		2
1774	7936	1	HuRI		1
1782	3598	1	HuRI	0.0	1
1797	1797	1	HuRI	0.0	2
1824	2906	1	HuRI	0.0	1
1843	9746	1	HuRI	0.0	2
1846	10501	1	HuRI	0.0	2
1853	3926	1	HuRI	0.0	1
1863	7896	1	HuRI	0.0	1
1868	5076	1	HuRI		1
1868	5691	1	HuRI	0.0	1
1868	54647	1	HuRI		2
1868	100015303	1	HuRI	0.0	1
1879	9939	1	HuRI		1
1879	100062247	1	HuRI		1
1883	8967	1	HuRI	0.0	3
1905	14983	1	HuRI	0.0	1
1905	100016009	1	HuRI	0.0	2
1909	2078	1	HuRI	0.0	1
1910	2098	1	HuRI	0.0	1
1918	6534	1	HuRI		1
1919	12653	1	HuRI	0.0	2
1919	70027	1	HuRI	0.0	1
1923	13662	1	HuRI		1
1938	6982	1	HuRI		3
1938	13969	1	HuRI		1
1940	4279	1	HuRI	0.0	1
1940	6624	1	HuRI	1.0	1
1940	10812	1	HuRI		1
1940	52758	1	HuRI	0.0	1
1952	100066360	1	HuRI	0.0	2
1957	5403	1	HuRI	0.0	3
1974	72137	1	HuRI	0.0	2
1982	3434	1	HuRI	0.0	1
2000	52743	1	HuRI	0.0	1
2000	70264	1	HuRI	1.0	3
2007	3598	1	HuRI	0.0	1
2026	3769	1	HuRI	0.0	2
2026	8352	1	HuRI		1
2029	10955	1	HuRI	0.0	1
2029	100015388	1	HuRI	0.0	3
2057	4407	1	HuRI	0.0	1
2057	55664	1	HuRI	0.0	2
2057	70261	1	HuRI		2
2077	13600	1	HuRI	0.0	1
2077	14862	1	HuRI	0.0	1
2077	71680	1	HuRI	0.0	2
2079	4728	1	HuRI		1
2079	14650	1	HuRI		1
2092	3427	1	HuRI	0.0	2
2092	6699	1	HuRI	0.0	2
2094	5403	1	HuRI		2
2098	5002	1	HuRI	0.0	1
2098	9304	1	HuRI	0.0	1
2098	53013	1	HuRI	0.0	1
2098	53053	1	HuRI	0.0	2
2098	56544	1	HuRI	0.0	3
