ad_orf_id	db_orf_id	final_score	source
5113	2718	0	Lit-BM-LT-17
100069081	100000442	0	Lit-BM-LT-17
100068511	208	1	Lit-BM-LT-17
7705	10739	0	Lit-BM-LT-17
71123	70985	0	Lit-BM-LT-17
3697	14691	NA	Lit-BM-LT-17
11422	56361	0	Lit-BM-LT-17
11208	2410	0	Lit-BM-LT-17
14441	1653	0	Lit-BM-LT-17
413	8196	0	Lit-BM-LT-17
100015250	5908	0	Lit-BM-LT-17
6680	100009114	0	Lit-BM-LT-17
100080764	8010	0	Lit-BM-LT-17
4501	6768	NA	Lit-BM-LT-17
12747	14730	NA	Lit-BM-LT-17
7524	12309	0	Lit-BM-LT-17
11222	54316	1	Lit-BM-LT-17
807	70107	0	Lit-BM-LT-17
209	12299	NA	Lit-BM-LT-17
10194	5348	0	Lit-BM-LT-17
6699	4887	NA	Lit-BM-LT-17
6440	71043	1	Lit-BM-LT-17
4956	2261	0	Lit-BM-LT-17
4718	10632	0	Lit-BM-LT-17
4636	71775	1	Lit-BM-LT-17
55313	1373	0	Lit-BM-LT-17
12815	53364	0	Lit-BM-LT-17
1919	11787	0	Lit-BM-LT-17
71961	5876	0	Lit-BM-LT-17
11806	7442	0	Lit-BM-LT-17
3874	9987	0	Lit-BM-LT-17
53254	9477	NA	Lit-BM-LT-17
71257	7582	NA	Lit-BM-LT-17
70985	71123	0	Lit-BM-LT-17
10889	55879	NA	Lit-BM-LT-17
14754	11285	0	Lit-BM-LT-17
611	12224	0	Lit-BM-LT-17
385	12016	0	Lit-BM-LT-17
2786	14385	0	Lit-BM-LT-17
100008839	70263	0	Lit-BM-LT-17
55205	5219	0	Lit-BM-LT-17
9270	56442	0	Lit-BM-LT-17
55012	8993	0	Lit-BM-LT-17
2219	6660	0	Lit-BM-LT-17
12438	100062372	0	Lit-BM-LT-17
3944	170	0	Lit-BM-LT-17
11832	4362	0	Lit-BM-LT-17
624	4706	0	Lit-BM-LT-17
100015498	839	0	Lit-BM-LT-17
10041	7977	NA	Lit-BM-LT-17
4671	4671	1	Lit-BM-LT-17
4586	3648	0	Lit-BM-LT-17
5980	100000264	0	Lit-BM-LT-17
4468	100070339	0	Lit-BM-LT-17
8335	687	0	Lit-BM-LT-17
72167	490	0	Lit-BM-LT-17
8010	100080764	0	Lit-BM-LT-17
5219	55205	0	Lit-BM-LT-17
11787	1919	0	Lit-BM-LT-17
100069076	6671	1	Lit-BM-LT-17
11727	10160	0	Lit-BM-LT-17
100067220	100011444	0	Lit-BM-LT-17
775	56340	0	Lit-BM-LT-17
14640	71567	0	Lit-BM-LT-17
6671	100069076	1	Lit-BM-LT-17
56335	100068974	NA	Lit-BM-LT-17
100014263	56061	0	Lit-BM-LT-17
6224	3701	0	Lit-BM-LT-17
2718	5113	0	Lit-BM-LT-17
55801	100061549	1	Lit-BM-LT-17
5876	71961	0	Lit-BM-LT-17
55128	752	0	Lit-BM-LT-17
54150	6337	0	Lit-BM-LT-17
4004	6853	0	Lit-BM-LT-17
71335	6704	0	Lit-BM-LT-17
11609	5350	0	Lit-BM-LT-17
53216	4728	0	Lit-BM-LT-17
71184	6976	0	Lit-BM-LT-17
11214	7515	0	Lit-BM-LT-17
10856	70200	0	Lit-BM-LT-17
3390	100080511	0	Lit-BM-LT-17
3310	13645	0	Lit-BM-LT-17
26	100011435	NA	Lit-BM-LT-17
13665	10053	0	Lit-BM-LT-17
2540	3820	0	Lit-BM-LT-17
100070339	4468	1	Lit-BM-LT-17
100068974	56335	0	Lit-BM-LT-17
100063969	1136	0	Lit-BM-LT-17
14730	12747	0	Lit-BM-LT-17
383	383	0	Lit-BM-LT-17
56361	11422	0	Lit-BM-LT-17
4956	100008839	0	Lit-BM-LT-17
100011133	6158	0	Lit-BM-LT-17
6191	8626	NA	Lit-BM-LT-17
5964	5964	NA	Lit-BM-LT-17
8626	6191	0	Lit-BM-LT-17
4123	13328	0	Lit-BM-LT-17
12137	54364	0	Lit-BM-LT-17
8066	11997	NA	Lit-BM-LT-17
100070227	6671	0	Lit-BM-LT-17
71043	6440	1	Lit-BM-LT-17
3722	5484	0	Lit-BM-LT-17
3648	4586	0	Lit-BM-LT-17
14597	14754	0	Lit-BM-LT-17
10525	56684	0	Lit-BM-LT-17
100016179	3330	0	Lit-BM-LT-17
56684	10525	1	Lit-BM-LT-17
56382	9998	NA	Lit-BM-LT-17
13917	6982	NA	Lit-BM-LT-17
6559	6976	0	Lit-BM-LT-17
6337	54150	NA	Lit-BM-LT-17
100080534	3310	0	Lit-BM-LT-17
5908	100015250	0	Lit-BM-LT-17
8686	5469	NA	Lit-BM-LT-17
12443	14287	0	Lit-BM-LT-17
1945	1	1	Lit-BM-LT-17
53770	55309	0	Lit-BM-LT-17
7918	2633	0	Lit-BM-LT-17
52996	56335	0	Lit-BM-LT-17
10823	11800	0	Lit-BM-LT-17
6976	6559	0	Lit-BM-LT-17
56300	397	0	Lit-BM-LT-17
3016	3016	0	Lit-BM-LT-17
13762	3817	0	Lit-BM-LT-17
56061	100014263	0	Lit-BM-LT-17
100009344	732	0	Lit-BM-LT-17
100008999	12492	0	Lit-BM-LT-17
5923	3411	0	Lit-BM-LT-17
11800	251	0	Lit-BM-LT-17
70200	10856	NA	Lit-BM-LT-17
6843	2483	0	Lit-BM-LT-17
13970	10805	NA	Lit-BM-LT-17
9987	3874	NA	Lit-BM-LT-17
100009044	80385	AA	Lit-BM-LT-17
11997	8066	0	Lit-BM-LT-17
1551	100066420	0	Lit-BM-LT-17
100067768	8208	0	Lit-BM-LT-17
70513	100061549	0	Lit-BM-LT-17
70263	100008839	0	Lit-BM-LT-17
208	100068511	1	Lit-BM-LT-17
56644	100063969	NA	Lit-BM-LT-17
100009114	6680	0	Lit-BM-LT-17
5957	14956	0	Lit-BM-LT-17
12803	12010	0	Lit-BM-LT-17
535	71726	0	Lit-BM-LT-17
385	7953	0	Lit-BM-LT-17
100080638	53620	NA	Lit-BM-LT-17
13328	4123	0	Lit-BM-LT-17
9079	8409	0	Lit-BM-LT-17
12438	11822	0	Lit-BM-LT-17
4032	72151	0	Lit-BM-LT-17
71775	4636	0	Lit-BM-LT-17
11690	9581	NA	Lit-BM-LT-17
3722	7443	0	Lit-BM-LT-17
752	55128	0	Lit-BM-LT-17
570	2622	0	Lit-BM-LT-17
100016179	13880	NA	Lit-BM-LT-17
397	56300	0	Lit-BM-LT-17
251	11800	0	Lit-BM-LT-17
2801	54233	0	Lit-BM-LT-17
100009283	10357	AA	Lit-BM-LT-17
13022	8329	NA	Lit-BM-LT-17
4528	5658	0	Lit-BM-LT-17
12224	611	0	Lit-BM-LT-17
8139	2540	0	Lit-BM-LT-17
3726	6523	NA	Lit-BM-LT-17
339	100069198	0	Lit-BM-LT-17
56335	52996	NA	Lit-BM-LT-17
2714	100080500	AA	Lit-BM-LT-17
6157	3807	0	Lit-BM-LT-17
100080500	2714	0	Lit-BM-LT-17
4543	9722	0	Lit-BM-LT-17
5228	7273	0	Lit-BM-LT-17
3907	100015198	0	Lit-BM-LT-17
7953	385	0	Lit-BM-LT-17
7515	11214	1	Lit-BM-LT-17
70513	6323	0	Lit-BM-LT-17
56919	3587	0	Lit-BM-LT-17
