network	fct_dataset	sum_edge_weights_coAnnot_real	mean_sum_edge_weights_coAnnot_rand	std_sum_edge_weights_coAnnot_rand	median_sum_edge_weights_coAnnot_rand	2.5perc_sum_edge_weights_coAnnot_rand	97.5perc_sum_edge_weights_coAnnot_rand	z_score	pvalue	num_rand_greaterEqual	fold_change
HI-III	Complex	666	15.25	3.427462618322773	15	8	22	189.86348575216383	0	0	43.67
HI-III	Compartment	6515	5629.73	59.12949433235498	5624.5	5518.225	5747.549999999999	14.971716061430799	0	0	1.16
HI-III	Pathway	1769	407.13	18.70489508123475	406	374	442.525	72.80821379031761	0	0	4.35
HI-III	Co-fit	145	109.61	10.290670532088763	109	90.475	127.04999999999998	3.4390373192539347	0	0	1.32
HI-III	Co-expr	226	76.33	7.68772398047693	76	63	90	19.468701058998594	0	0	2.96
HI-III-PSN	Complex	147.68170873307963	20.568545551517317	1.0997064357504558	20.622796085168865	18.756264551384028	22.51441097904479	115.5882688772467	0	0	7.18
HI-III-PSN	Compartment	10177.886435102833	7059.771700687886	89.9551993360653	7062.320959779589	6878.735269807003	7232.235043132414	34.66297398514926	0	0	1.44
HI-III-PSN	Pathway	1162.0892702512022	363.1030680934502	9.27946442684179	363.4349122700081	345.42047911283856	378.8754078214313	86.10262030280579	0	0	3.20
HI-III-PSN	Co-fit	207.3441661877418	151.0984893626179	5.4370887342678005	151.20451797549742	142.41313386242206	161.50964476656668	10.344814950440268	0	0	1.37
HI-III-PSN	Co-expr	262.1769035490027	111.788586967902	4.030310585179812	111.98480444839079	104.29564737135972	118.67812241714451	37.3143243932877	0	0	2.35
