orf_id_a	orf_id_b	result	source
1	54223	0.0	Lit-BS-LT-17
34	9681	0.0	Lit-NB-17
34	11996	1.0	Lit-BM-13
34	100000465	1.0	Lit-BM-HT-17
38	38	0.0	Lit-BS-LT-17
48	69	0.0	Lit-BS-LT-17
48	11100	0.0	Lit-BM-13
58	13195	0.0	Lit-BM-HT-17
65	8024	0.0	Lit-BM-LT-17
72	12311	0.0	Lit-NB-17
107	7467	0.0	Lit-BS-LT-17
107	9628	0.0	Lit-BM-13
110	110	0.0	Lit-BM-LT-17
113	3699	0.0	Lit-BS-HT-17
113	10618	0.0	Lit-BM-LT-17
113	53358	0.0	Lit-BS-HT-17
113	56157	0.0	Lit-BM-HT-17
130	2598	0.0	Lit-NB-17
137	4556	0.0	Lit-BS-LT-17
143	891	0.0	Lit-NB-17
156	13352	1.0	Lit-BS-HT-17
164	53687	0.0	Lit-BM-13
170	3944	1.0	Lit-BM-LT-17
208	10036	0.0	Lit-BM-13
208	100068511	0.0	Lit-BM-LT-17
209	12299	0.0	Lit-BM-LT-17
213	54451	0.0	Lit-NB-17
226	3177	0.0	Lit-NB-17
240	1485	0.0	Lit-NB-17
244	3011	0.0	Lit-BM-13
247	562	0.0	Lit-BS-HT-17
257	100015982	0.0	Lit-BS-HT-17
258	6319	0.0	Lit-BS-HT-17
258	100062247		Lit-BS-HT-17
269	7415	0.0	Lit-BS-HT-17
279	3339	1.0	Lit-BS-LT-17
304	3011	0.0	Lit-BM-HT-17
305	14543	0.0	Lit-BM-HT-17
330	100080778	0.0	Lit-NB-17
333	4158	0.0	Lit-BS-HT-17
333	100070284	0.0	Lit-BM-HT-17
339	100069198	0.0	Lit-BM-LT-17
356	72179	0.0	Lit-BS-LT-17
359	3625	0.0	Lit-BS-LT-17
383	383	1.0	Lit-BM-LT-17
383	7099	0.0	Lit-BS-LT-17
385	12016	0.0	Lit-BM-LT-17
392	55702	0.0	Lit-BM-13
397	56300	0.0	Lit-BM-LT-17
399	2987	0.0	Lit-BM-HT-17
399	6819	0.0	Lit-BM-HT-17
399	54902	0.0	Lit-BM-HT-17
402	12801	0.0	Lit-BS-HT-17
413	8196	0.0	Lit-BM-LT-17
442	909	0.0	Lit-BM-HT-17
459	1863	0.0	Lit-BS-HT-17
478	915	0.0	Lit-BM-HT-17
478	5743	0.0	Lit-BM-HT-17
490	72167	0.0	Lit-BM-LT-17
492	100000476		Lit-NB-17
499	14757	0.0	Lit-NB-17
503	52628	0.0	Lit-BM-LT-17
504	3332		Lit-NB-17
525	6947	0.0	Lit-NB-17
562	12196	0.0	Lit-BS-HT-17
570	2622	0.0	Lit-BM-LT-17
611	12224	0.0	Lit-BM-LT-17
624	4996	0.0	Lit-BM-LT-17
653	4544	1.0	Lit-BM-13
683	5109	0.0	Lit-BM-LT-17
693	14117	0.0	Lit-NB-17
714	13259	0.0	Lit-BS-HT-17
732	3706	0.0	Lit-BM-HT-17
732	56049	0.0	Lit-BS-LT-17
752	71056	0.0	Lit-BM-13
756	11706	0.0	Lit-BM-13
764	764		Lit-BM-LT-17
775	56340	0.0	Lit-BM-LT-17
801	14331	0.0	Lit-BM-13
807	70107	0.0	Lit-BM-LT-17
813	3677	0.0	Lit-NB-17
839	10547	0.0	Lit-BS-HT-17
850	2004	0.0	Lit-NB-17
858	56354	0.0	Lit-BS-LT-17
891	55203	0.0	Lit-BM-HT-17
909	6012	1.0	Lit-BM-HT-17
915	1045	0.0	Lit-BM-13
915	3030	0.0	Lit-BS-HT-17
915	7774	0.0	Lit-BM-HT-17
915	52875	0.0	Lit-BM-HT-17
949	55203	0.0	Lit-BM-HT-17
955	5819	0.0	Lit-BS-LT-17
955	56157	0.0	Lit-BS-HT-17
962	2706	0.0	Lit-BM-LT-17
966	100011425	1.0	Lit-BS-LT-17
1026	3529	0.0	Lit-BS-LT-17
1037	10358	0.0	Lit-BS-HT-17
1063	55809	0.0	Lit-BM-HT-17
1081	5109	0.0	Lit-BM-HT-17
1081	5512	0.0	Lit-NB-17
1136	7807	0.0	Lit-BS-HT-17
1136	100063969	0.0	Lit-BM-LT-17
1147	13519	0.0	Lit-BS-LT-17
1170	5001	0.0	Lit-BS-HT-17
1180	100011238	0.0	Lit-BM-13
1264	13195	0.0	Lit-BS-LT-17
1275	4262	1.0	Lit-BS-HT-17
1320	9620	0.0	Lit-BS-HT-17
1363	100067052	0.0	Lit-NB-17
1373	55313	0.0	Lit-BM-LT-17
1380	7925	0.0	Lit-NB-17
1380	100080614	0.0	Lit-BM-HT-17
1433	72068	0.0	Lit-BS-HT-17
1485	6038	0.0	Lit-BS-LT-17
1499	10853	0.0	Lit-BM-HT-17
1499	100009819	0.0	Lit-BM-HT-17
1522	1522	1.0	Lit-BS-LT-17
1528	71075	0.0	Lit-NB-17
1551	2961	0.0	Lit-BM-HT-17
1551	13596	0.0	Lit-NB-17
1551	100015523	0.0	Lit-BS-HT-17
1563	8208	0.0	Lit-BM-13
1571	9764	0.0	Lit-BM-13
1641	6808	0.0	Lit-BM-13
1653	14441	0.0	Lit-BM-LT-17
1660	3733	0.0	Lit-BS-HT-17
1661	13064	0.0	Lit-BS-LT-17
1689	4956	0.0	Lit-BM-13
1734	5350	0.0	Lit-NB-17
1812	6903	1.0	Lit-NB-17
1845	1845	1.0	Lit-BM-LT-17
1849	5898	0.0	Lit-BS-LT-17
1884	6709	0.0	Lit-BS-HT-17
