ensembl_gene_id_a	ensembl_gene_id_b	n_publications	n_methods	n_evidences
ENSG00000108469	ENSG00000181222	3	4	5
ENSG00000078747	ENSG00000205726	1	2	2
ENSG00000161011	ENSG00000188554	9	5	9
ENSG00000078747	ENSG00000123405	2	4	4
ENSG00000173391	ENSG00000173391	2	4	4
ENSG00000181856	ENSG00000204209	1	3	3
ENSG00000119912	ENSG00000277632	1	3	3
ENSG00000034713	ENSG00000188554	2	3	4
ENSG00000115289	ENSG00000183337	7	6	9
ENSG00000085185	ENSG00000115289	5	3	5
ENSG00000100151	ENSG00000125675	1	2	2
ENSG00000100151	ENSG00000152578	1	2	2
ENSG00000100151	ENSG00000110881	2	2	3
ENSG00000060688	ENSG00000108883	4	4	4
ENSG00000089685	ENSG00000178999	12	6	16
ENSG00000119912	ENSG00000150991	1	3	3
ENSG00000147400	ENSG00000198089	2	5	5
ENSG00000177889	ENSG00000180233	5	3	5
ENSG00000064393	ENSG00000141510	6	5	7
ENSG00000113240	ENSG00000198258	2	2	3
ENSG00000104859	ENSG00000113240	1	2	2
ENSG00000100462	ENSG00000172301	2	3	4
ENSG00000065413	ENSG00000129204	1	3	3
ENSG00000064393	ENSG00000103275	5	4	7
ENSG00000064393	ENSG00000116030	3	3	3
ENSG00000064393	ENSG00000136485	2	4	4
ENSG00000100151	ENSG00000120251	2	2	3
ENSG00000150991	ENSG00000188554	5	2	6
ENSG00000078747	ENSG00000111859	1	3	3
ENSG00000064393	ENSG00000118513	2	3	3
ENSG00000078747	ENSG00000178568	2	4	5
ENSG00000134308	ENSG00000180233	2	2	3
ENSG00000138592	ENSG00000188554	1	2	2
ENSG00000078747	ENSG00000102606	2	2	3
ENSG00000164161	ENSG00000164690	1	3	3
ENSG00000139549	ENSG00000164161	2	5	5
ENSG00000104814	ENSG00000173327	2	2	2
ENSG00000136997	ENSG00000162702	1	2	2
ENSG00000104814	ENSG00000177885	5	6	8
ENSG00000101367	ENSG00000178999	1	3	3
ENSG00000134690	ENSG00000178999	9	5	10
ENSG00000006638	ENSG00000131467	2	2	3
ENSG00000178999	ENSG00000180096	2	4	5
ENSG00000163430	ENSG00000170458	2	3	3
ENSG00000125845	ENSG00000163430	1	2	2
ENSG00000071655	ENSG00000085276	1	2	2
ENSG00000060688	ENSG00000174231	4	5	5
ENSG00000221829	ENSG00000221829	4	2	4
ENSG00000078114	ENSG00000168334	1	2	2
ENSG00000105329	ENSG00000163430	1	2	2
ENSG00000078747	ENSG00000104205	1	4	4
ENSG00000078747	ENSG00000113369	1	2	2
ENSG00000100151	ENSG00000142319	1	2	2
ENSG00000078747	ENSG00000133104	5	4	5
ENSG00000100764	ENSG00000163635	1	2	2
ENSG00000078747	ENSG00000197070	4	3	4
ENSG00000172175	ENSG00000172175	4	4	6
ENSG00000124145	ENSG00000133321	1	2	2
ENSG00000169083	ENSG00000204209	1	4	4
ENSG00000126107	ENSG00000172175	1	2	2
ENSG00000114200	ENSG00000114200	4	5	5
ENSG00000142867	ENSG00000172175	19	5	21
ENSG00000100567	ENSG00000178999	2	2	3
ENSG00000082146	ENSG00000101966	1	2	2
ENSG00000119333	ENSG00000157625	1	2	2
ENSG00000100151	ENSG00000169594	1	2	2
ENSG00000172531	ENSG00000178999	1	2	2
ENSG00000119333	ENSG00000135341	1	2	2
ENSG00000033800	ENSG00000131467	1	2	2
ENSG00000143632	ENSG00000197530	1	2	2
ENSG00000060558	ENSG00000113312	1	2	2
ENSG00000080824	ENSG00000168259	3	3	4
ENSG00000111530	ENSG00000139842	13	4	14
ENSG00000121022	ENSG00000166200	9	5	9
ENSG00000010017	ENSG00000064393	1	2	2
ENSG00000078043	ENSG00000119772	1	2	2
ENSG00000033800	ENSG00000119772	2	3	3
ENSG00000088305	ENSG00000142182	5	3	5
ENSG00000121774	ENSG00000178951	1	4	4
ENSG00000127946	ENSG00000197386	5	3	7
ENSG00000102786	ENSG00000166508	1	4	4
ENSG00000119772	ENSG00000197409	3	3	4
ENSG00000130699	ENSG00000197386	1	2	2
ENSG00000087085	ENSG00000206561	1	2	2
ENSG00000134954	ENSG00000204209	2	3	3
ENSG00000110107	ENSG00000116752	3	5	5
ENSG00000121022	ENSG00000158748	1	2	2
ENSG00000160307	ENSG00000160678	2	2	3
ENSG00000108061	ENSG00000174775	2	2	3
ENSG00000172301	ENSG00000275126	1	2	2
ENSG00000110107	ENSG00000159377	1	3	3
ENSG00000135486	ENSG00000135486	1	2	2
ENSG00000119772	ENSG00000197153	3	3	4
ENSG00000119772	ENSG00000278272	3	3	4
ENSG00000108106	ENSG00000110330	2	2	2
