assay_condition	Fluorescence	TimeOfDeath_trunc_24h
with_TRAIL	732.663111	1440
with_TRAIL	2929.012622	180
with_TRAIL	1139.604267	705
with_TRAIL	544.984533	165
with_TRAIL	6816.850311	135
with_TRAIL	598.050667	630
with_TRAIL	562.8352	315
with_TRAIL	4164.304533	435
with_TRAIL	1606.708444	900
with_TRAIL	1270.691733	195
with_TRAIL	1165.556978	180
with_TRAIL	2546.800533	45
with_TRAIL	969.571022	1440
with_TRAIL	705.745956	1440
with_TRAIL	5177.165333	210
with_TRAIL	3201.850311	180
with_TRAIL	675.531733	1440
with_TRAIL	440.917867	1380
with_TRAIL	661.732267	225
with_TRAIL	529.128356	195
with_TRAIL	1086.319822	255
with_TRAIL	3697.643733	345
with_TRAIL	526.253867	210
with_TRAIL	577.390756	240
with_TRAIL	2197.848889	210
with_TRAIL	1873.442667	270
with_TRAIL	1487.133156	180
with_TRAIL	505.413689	1440
with_TRAIL	629.767289	1440
with_TRAIL	3381.937778	390
with_TRAIL	4755.629511	735
with_TRAIL	2708.866844	180
with_TRAIL	2306.332267	165
with_TRAIL	3562.634844	150
with_TRAIL	1478.200889	225
with_TRAIL	1070.650489	735
with_TRAIL	514.216889	1440
with_TRAIL	805.755556	255
with_TRAIL	498.113067	195
with_TRAIL	628.019733	195
with_TRAIL	0	135
with_TRAIL	0	135
with_TRAIL	0	150
with_TRAIL	0	165
with_TRAIL	0	165
with_TRAIL	0	180
with_TRAIL	0	180
with_TRAIL	0	195
with_TRAIL	0	210
with_TRAIL	0	225
with_TRAIL	0	270
with_TRAIL	0	270
with_TRAIL	0	330
with_TRAIL	0	435
with_TRAIL	0	525
with_TRAIL	0	630
with_TRAIL	0	705
with_TRAIL	0	900
with_TRAIL	0	1140
with_TRAIL	0	1305
with_TRAIL	0	1425
with_TRAIL	0	1380
with_TRAIL	0	1440
with_TRAIL	0	1440
with_TRAIL	0	1440
with_TRAIL	0	1440
with_TRAIL	0	150
with_TRAIL	0	150
with_TRAIL	0	150
with_TRAIL	0	165
with_TRAIL	0	165
with_TRAIL	0	165
with_TRAIL	0	180
with_TRAIL	0	180
with_TRAIL	0	195
with_TRAIL	0	225
with_TRAIL	0	255
with_TRAIL	0	405
with_TRAIL	0	405
with_TRAIL	0	330
with_TRAIL	0	735
with_TRAIL	0	1425
with_TRAIL	0	1440
with_TRAIL	0	1440
with_TRAIL	0	1440
with_TRAIL	0	1440
with_TRAIL	0	1440
with_TRAIL	0	1440
with_TRAIL	0	1440
with_TRAIL	0	105
with_TRAIL	0	105
with_TRAIL	0	150
with_TRAIL	0	195
with_TRAIL	0	195
with_TRAIL	0	210
with_TRAIL	0	240
with_TRAIL	0	255
with_TRAIL	0	255
with_TRAIL	0	270
with_TRAIL	0	270
with_TRAIL	0	285
with_TRAIL	0	345
with_TRAIL	0	675
with_TRAIL	0	1170
with_TRAIL	0	1440
with_TRAIL	0	1440
with_TRAIL	0	1440
with_TRAIL	0	1440
with_TRAIL	0	1440
with_TRAIL	0	45
with_TRAIL	0	135
with_TRAIL	0	135
with_TRAIL	0	165
with_TRAIL	0	180
with_TRAIL	0	195
with_TRAIL	0	345
with_TRAIL	0	345
with_TRAIL	0	465
with_TRAIL	0	555
with_TRAIL	0	555
with_TRAIL	0	615
with_TRAIL	0	810
with_TRAIL	0	930
with_TRAIL	0	990
with_TRAIL	0	1440
with_TRAIL	0	1440
with_TRAIL	0	1440
with_TRAIL	0	1440
with_TRAIL	0	1440
with_TRAIL	0	1440
with_TRAIL	0	1440
with_TRAIL	0	1440
no_TRAIL	4890.231111	810
no_TRAIL	3813.5664	1440
no_TRAIL	1337.6912	540
no_TRAIL	1886.958222	1440
no_TRAIL	1712.333333	1440
no_TRAIL	2230.775289	1440
no_TRAIL	531.133333	1440
no_TRAIL	866.432889	1440
no_TRAIL	1566.563733	1440
no_TRAIL	1237.479467	1245
no_TRAIL	843.982578	1440
no_TRAIL	675.058489	1440
no_TRAIL	475.1328	630
no_TRAIL	1468.015644	960
no_TRAIL	444.189333	1440
no_TRAIL	374.056889	1425
no_TRAIL	869.549511	1440
no_TRAIL	0	180
no_TRAIL	0	450
no_TRAIL	0	480
no_TRAIL	0	555
no_TRAIL	0	810
no_TRAIL	0	1080
no_TRAIL	0	1155
no_TRAIL	0	1095
no_TRAIL	0	1200
no_TRAIL	0	1440
no_TRAIL	0	1440
no_TRAIL	0	1440
no_TRAIL	0	1440
no_TRAIL	0	1440
no_TRAIL	0	1440
no_TRAIL	0	1440
no_TRAIL	0	1440
no_TRAIL	0	315
no_TRAIL	0	360
no_TRAIL	0	630
no_TRAIL	0	690
no_TRAIL	0	690
no_TRAIL	0	915
no_TRAIL	0	1035
no_TRAIL	0	1005
no_TRAIL	0	930
no_TRAIL	0	1215
no_TRAIL	0	1440
no_TRAIL	0	1440
no_TRAIL	0	1440
no_TRAIL	0	1440
no_TRAIL	0	45
no_TRAIL	0	105
no_TRAIL	0	285
no_TRAIL	0	390
no_TRAIL	0	660
no_TRAIL	0	975
no_TRAIL	0	1110
no_TRAIL	0	915
no_TRAIL	0	1230
no_TRAIL	0	1440
no_TRAIL	0	1410
no_TRAIL	0	1440
no_TRAIL	0	1440
no_TRAIL	0	1440
no_TRAIL	0	1440
no_TRAIL	0	1440
no_TRAIL	0	1440
no_TRAIL	0	1440
no_TRAIL	0	1440
no_TRAIL	0	90
no_TRAIL	0	390
no_TRAIL	0	405
no_TRAIL	0	900
no_TRAIL	0	1005
no_TRAIL	0	1095
no_TRAIL	0	1335
no_TRAIL	0	1335
no_TRAIL	0	1440
no_TRAIL	0	1440
no_TRAIL	0	1440
no_TRAIL	0	1440
no_TRAIL	0	1440
no_TRAIL	0	1440
no_TRAIL	0	1440
no_TRAIL	0	1440
no_TRAIL	0	1440
no_TRAIL	0	1440
