ensembl_gene_id_a	ensembl_gene_id_b	assay_id	screens
ENSG00000123143	ENSG00000167565	1	8
ENSG00000103275	ENSG00000132640	1	9
ENSG00000117266	ENSG00000117475	1	12
ENSG00000137218	ENSG00000197191	1	1,3,4,5,6,7,8,9,10,12
ENSG00000145832	ENSG00000197191	1	1,7
ENSG00000100105	ENSG00000152430	1	1,3,4,5,6,7,8,9,10,11,12
ENSG00000154710	ENSG00000183283	1	1,4,10,12
ENSG00000116141	ENSG00000146425	1	4,7,8
ENSG00000100557	ENSG00000127191	1	1,4,5,6,8,9,10,11,12
ENSG00000108010	ENSG00000164287	1	10
ENSG00000104164	ENSG00000120860	1	2,3,7,8,9,10,11
ENSG00000105655	ENSG00000197191	1	1
ENSG00000123143	ENSG00000167110	1	2,4,5,6,7,8,9,10,11,12
ENSG00000111077	ENSG00000168000	1	3,12
ENSG00000157184	ENSG00000197191	1	8
ENSG00000011275	ENSG00000180354	1	12
ENSG00000087338	ENSG00000189064	1	1,2,3,4,5,6,7,8,9,10,11,12
ENSG00000138587	ENSG00000275700	1	12
ENSG00000112514	ENSG00000197191	1	10
ENSG00000124074	ENSG00000161405	1	2,3,4,6,8,9,10,11
ENSG00000162191	ENSG00000173641	1	10
ENSG00000175895	ENSG00000203908	1	10
ENSG00000114416	ENSG00000270765	1	11
ENSG00000122145	ENSG00000164093	1	3
ENSG00000130803	ENSG00000169800	1	1,2,3,4,6,7,8,9,11,12
ENSG00000127191	ENSG00000196422	1	10,11
ENSG00000076554	ENSG00000100335	1	1,10
ENSG00000139637	ENSG00000146038	1	9
ENSG00000148737	ENSG00000197191	1	1,2,4,6,7,8,9,11,12
ENSG00000115274	ENSG00000197191	1	1,2,3,4,5,6,7,9,10,11,12
ENSG00000161405	ENSG00000204536	1	11
ENSG00000151923	ENSG00000162613	1	2,3,4,5,7,8,9,10,12
ENSG00000111224	ENSG00000130299	1	6,7,8,9,10
ENSG00000204308	ENSG00000204427	1	1,2,3,5,8,9,10,11,12
ENSG00000173467	ENSG00000213024	1	1,2,3,4,5,6,7,8,9,10,11,12
ENSG00000166669	ENSG00000213024	1	8,12
ENSG00000100335	ENSG00000147676	1	2
ENSG00000112578	ENSG00000161405	1	11
ENSG00000117475	ENSG00000165630	1	1,4,5,7,8,9,10,11
ENSG00000107882	ENSG00000142552	1	1,2,3,4,5,6,7,8,10
ENSG00000117153	ENSG00000168542	1	7
ENSG00000123143	ENSG00000277586	1	2,11
ENSG00000127191	ENSG00000206177	1	7
ENSG00000103034	ENSG00000147676	1	2,12
ENSG00000124074	ENSG00000183092	1	5
ENSG00000140262	ENSG00000186510	1	6,9,11
ENSG00000115507	ENSG00000187223	1	3,4,5,7,9,10,11,12
ENSG00000143514	ENSG00000180448	1	1,4,6,7,8,12
ENSG00000164093	ENSG00000197191	1	5,7,8,9,10,12
ENSG00000137055	ENSG00000162191	1	1,3,4,7,9,11,12
ENSG00000100105	ENSG00000111077	1	7,10
ENSG00000140382	ENSG00000164756	1	3
ENSG00000167110	ENSG00000204536	1	4,6,8,11
ENSG00000113721	ENSG00000117153	1	1,2,10,11,12
ENSG00000125871	ENSG00000146038	1	7
ENSG00000104064	ENSG00000127191	1	1,3,4,5,6,7,9,10,12
ENSG00000114416	ENSG00000117266	1	12
ENSG00000165802	ENSG00000169906	1	2
ENSG00000002834	ENSG00000197191	1	2,3,4,6,8,9,10,12
ENSG00000113790	ENSG00000115255	1	7,10
ENSG00000161405	ENSG00000178773	1	4
ENSG00000139714	ENSG00000167110	1	11
ENSG00000127191	ENSG00000183495	1	1,2,3,10,12
ENSG00000100201	ENSG00000101213	1	3,6,7,8,9,11,12
ENSG00000087338	ENSG00000113790	1	6,7,10,11
ENSG00000011275	ENSG00000159256	1	8
ENSG00000111077	ENSG00000115274	1	1,3
ENSG00000124074	ENSG00000127191	1	2,3,4,5,6,8,9,10,11,12
ENSG00000090989	ENSG00000128272	1	2,3,10,11
ENSG00000106829	ENSG00000213024	1	6
ENSG00000187180	ENSG00000204178	1	1,6,7,9,12
ENSG00000136950	ENSG00000165802	1	7
ENSG00000139637	ENSG00000147676	1	10
ENSG00000101213	ENSG00000161405	1	7,10
ENSG00000146425	ENSG00000164093	1	2,4,5,6,7,8,9,11,12
ENSG00000130299	ENSG00000140262	1	1
ENSG00000127191	ENSG00000270765	1	6,12
ENSG00000087338	ENSG00000185787	1	11
ENSG00000134207	ENSG00000197256	1	1,4,5,6
ENSG00000127191	ENSG00000134207	1	8
ENSG00000140743	ENSG00000204536	1	1,7,11,12
ENSG00000106244	ENSG00000197329	1	6
ENSG00000146038	ENSG00000184786	1	5
ENSG00000106541	ENSG00000198356	1	7,9,10,12
ENSG00000117475	ENSG00000124074	1	8,10,11
ENSG00000067606	ENSG00000124171	1	1,4,5,7,8,10,12
ENSG00000117475	ENSG00000164287	1	6
ENSG00000104164	ENSG00000213024	1	2,3,5,6,8,9,12
ENSG00000188986	ENSG00000204356	1	3,4
ENSG00000161405	ENSG00000176105	1	2,3,4,6,8,11,12
ENSG00000131149	ENSG00000167110	1	4,5,7,8,9,10,11,12
ENSG00000117266	ENSG00000161405	1	2,4
ENSG00000105829	ENSG00000125814	1	1,5,6,7,9,10,11,12
ENSG00000143514	ENSG00000185418	1	1,2,4,6,7,8,9,11,12
ENSG00000112130	ENSG00000197256	1	1,12
ENSG00000100462	ENSG00000106123	1	1,2,3,6,7,8,9,12
ENSG00000117475	ENSG00000140259	1	1,10
ENSG00000087589	ENSG00000167110	1	2
ENSG00000085514	ENSG00000100284	1	7
ENSG00000117475	ENSG00000119725	1	8,9,10,12
ENSG00000137310	ENSG00000167110	1	2,3,4,5,6,7,8,10,11
ENSG00000150477	ENSG00000156050	1	4
ENSG00000117475	ENSG00000151929	1	2
ENSG00000127191	ENSG00000165802	1	7
ENSG00000107882	ENSG00000114416	1	2,3,4,6,7,8,9,10,12
ENSG00000088325	ENSG00000167110	1	1,7
ENSG00000143514	ENSG00000186660	1	2,3,6,7,8,9,10,11
ENSG00000142661	ENSG00000167110	1	12
ENSG00000112130	ENSG00000120860	1	2,8,10
ENSG00000174165	ENSG00000203685	1	4,7,8
ENSG00000095397	ENSG00000167110	1	4,5,6,7,8,9,10,11,12
ENSG00000147144	ENSG00000173480	1	8
ENSG00000187180	ENSG00000187223	1	1,2,4,5,6,7,8,9,10,11,12
ENSG00000166170	ENSG00000187180	1	9
ENSG00000139192	ENSG00000197191	1	8,9,10,11,12
ENSG00000176105	ENSG00000197191	1	10
ENSG00000161405	ENSG00000173480	1	2,4,8,11
ENSG00000134830	ENSG00000146038	1	9
ENSG00000111077	ENSG00000145832	1	12
ENSG00000213024	ENSG00000266714	1	1,2,4,9,10,12
ENSG00000158428	ENSG00000197191	1	3,8,9,12
ENSG00000178104	ENSG00000180448	1	1
ENSG00000117475	ENSG00000152977	1	10,12
ENSG00000124074	ENSG00000150477	1	3
ENSG00000155313	ENSG00000162927	1	1,3,4,5,7,8,10,11,12
ENSG00000074527	ENSG00000197191	1	1,2,3,4,10,11,12
ENSG00000142694	ENSG00000197191	1	1,12
ENSG00000167110	ENSG00000186976	1	1,2,3,5,6,8,9
ENSG00000161405	ENSG00000175029	1	10,11
ENSG00000117475	ENSG00000166579	1	8
ENSG00000136925	ENSG00000150477	1	3
ENSG00000115380	ENSG00000127191	1	1,2,3,4,5,7,9,10
ENSG00000065427	ENSG00000106305	1	1,2,3,5,6,7,8,9,10,11,12
ENSG00000167768	ENSG00000213024	1	9,10,12
ENSG00000143183	ENSG00000186393	1	7
ENSG00000083535	ENSG00000143514	1	2,5,6,7,8,9,10
ENSG00000101558	ENSG00000108878	1	1,8,10
ENSG00000143375	ENSG00000143514	1	1,2,4,5,6,7,8,9,11,12
ENSG00000143452	ENSG00000146038	1	10
ENSG00000111077	ENSG00000134207	1	6,10
ENSG00000131503	ENSG00000167110	1	1,2,11,12
ENSG00000108010	ENSG00000212721	1	1,2,4,5,7,9,10,11
ENSG00000100462	ENSG00000113790	1	4,10,12
ENSG00000108091	ENSG00000140382	1	4,5,10
ENSG00000181404	ENSG00000186462	1	10
ENSG00000163071	ENSG00000167110	1	3,8,12
ENSG00000158321	ENSG00000197191	1	5,7
ENSG00000146109	ENSG00000197256	1	7,8,12
ENSG00000105341	ENSG00000197191	1	8
ENSG00000087338	ENSG00000140259	1	1,12
ENSG00000096872	ENSG00000150477	1	3,12
ENSG00000099812	ENSG00000117475	1	3,11
ENSG00000117475	ENSG00000166949	1	1
ENSG00000150477	ENSG00000173480	1	6,10
ENSG00000127191	ENSG00000198885	1	2,3,4,5,6,8,10,12
ENSG00000130640	ENSG00000167565	1	9
ENSG00000100290	ENSG00000129473	1	1,2,3,4,5,6,7,8,9,10,11,12
ENSG00000100422	ENSG00000197191	1	12
ENSG00000111077	ENSG00000242259	1	1,4
ENSG00000167792	ENSG00000197191	1	3
ENSG00000100055	ENSG00000150477	1	3,4,5,12
ENSG00000170903	ENSG00000204209	1	2,3,7,8,12
ENSG00000087338	ENSG00000112578	1	2,5,6,8,11,12
ENSG00000173480	ENSG00000183092	1	1
ENSG00000140743	ENSG00000169981	1	12
ENSG00000082512	ENSG00000127191	1	1,4,5,6,7,8,9,10,12
ENSG00000161405	ENSG00000165630	1	7
ENSG00000104164	ENSG00000175895	1	12
ENSG00000161405	ENSG00000166432	1	4
ENSG00000124074	ENSG00000140743	1	2,3,4,5,7,8,9,10,11,12
ENSG00000120860	ENSG00000204536	1	1,2,3,4,5,6,7,8,9,10,11,12
ENSG00000145414	ENSG00000162613	1	7
ENSG00000130803	ENSG00000226941	1	1,2,3,4,6,7,8,9,11,12
ENSG00000167565	ENSG00000174007	1	11
ENSG00000125952	ENSG00000175895	1	10,11
ENSG00000182950	ENSG00000197191	1	4,7,10
ENSG00000113790	ENSG00000165410	1	4,6
