standard_batch	source	assay	test_orf_ida	test_orf_idb	final_score
Hvs01	RRS	GPCA	5373	7240	14.83281530979894
Hvs01	RRS	GPCA	54279	8467	11.978153112761042
Hvs01	RRS	GPCA	54144	1819	10.798584134742988
Hvs01	Hs01	GPCA	100014442	1212	11.518843180423502
Hvs01	RRS	GPCA	4139	9862	13.34717554256016
Hvs01	RRS	GPCA	53048	10204	11.236962842438544
Hvs01	Hs01	GPCA	4787	5894	11.603339970086399
Hvs01	Hs01	GPCA	5143	3133	14.264369110009124
Hvs01	Hs01	GPCA	54296	4870	15.228036215006844
Hvs01	RRS	GPCA	53622	226	13.833864263515757
Hvs01	Lit-BM	GPCA	752	71056	15.485029779574067
Hvs01	RRS	GPCA	9286	9289	15.199078191691799
Hvs01	Lit-BM	GPCA	13177	6492	14.140138486329711
Hvs01	RRS	GPCA	278	11513	10.885913168352035
Hvs01	RRS	GPCA	5592	2138	13.17448710069149
Hvs01	Lit-BM	GPCA	14287	6555	17.781402032636922
Hvs01	Hs01	GPCA	856	54692	12.4105217860361
Hvs01	Hs01	GPCA	2786	56684	14.786450333659765
Hvs01	Hs01	GPCA	53235	5053	14.818182611594546
Hvs01	Lit-BM	GPCA	14543	14543	15.494987047015506
Hvs01	Lit-BM	GPCA	915	1045	10.554951982636949
Hvs01	Hs01	GPCA	14679	55588	13.864723530098363
Hvs01	Hs01	GPCA	9635	13024	16.57818243319091
Hvs01	Hs01	GPCA	12653	2332	13.446641228377672
Hvs01	RRS	GPCA	100015985	10973	12.016967638544514
Hvs01	RRS	GPCA	4564	5865	14.935648498213355
Hvs01	RRS	GPCA	9644	100000054	16.141762390590984
Hvs01	Hs01	GPCA	8072	12573	14.104980068686752
Hvs01	RRS	GPCA	5950	10893	15.660000914592537
Hvs01	Lit-BM	GPCA	48	7587	13.908053739877278
Hvs01	RRS	GPCA	100069100	5242	13.039316914259787
Hvs01	RRS	GPCA	14061	13164	11.218313076414962
Hvs01	RRS	GPCA	56403	8219	13.981679195772884
Hvs01	RRS	GPCA	4634	10315	13.146723326448043
Hvs01	RRS	GPCA	1089	71912	13.818292232098202
Hvs01	Lit-BM	GPCA	13442	2403	13.071822334808623
Hvs01	Hs01	GPCA	100015503	4664	18.762284792181294
Hvs01	Lit-BM	GPCA	9628	107	16.122321005646384
Hvs01	Hs01	GPCA	56352	100015815	12.469974839861655
Hvs01	RRS	GPCA	55887	53035	14.165889493177831
Hvs01	Hs01	GPCA	11410	7308	20.657669455341413
Hvs01	Hs01	GPCA	13662	56299	10.452691298832274
Hvs01	Hs01	GPCA	13662	2544	12.047186579842476
Hvs01	RRS	GPCA	4147	12329	16.970158851596548
Hvs01	Lit-BM	GPCA	10163	56248	11.749806905781075
Hvs01	RRS	GPCA	14353	11743	11.798384241497029
Hvs01	Hs01	GPCA	3110	5894	11.76600432868825
Hvs01	Lit-BM	GPCA	10876	2697	11.643088927464504
Hvs01	RRS	GPCA	11743	6364	13.125398149427912
Hvs01	RRS	GPCA	53103	226	14.911347043979156
Hvs01	RRS	GPCA	1383	100014447	11.749079237440284
Hvs01	Hs01	GPCA	1982	3434	14.479900173014961
Hvs01	Lit-BM	GPCA	71133	229	14.724777716762635
Hvs01	RRS	GPCA	3177	70995	12.82475382774399
Hvs01	Hs01	GPCA	11256	3754	11.919507392028535
Hvs01	RRS	GPCA	70767	4922	14.612964166106472
Hvs01	RRS	GPCA	100015563	70953	14.927379403231704
Hvs01	Hs01	GPCA	56717	791	13.610963926058297
Hvs01	RRS	GPCA	2119	5477	16.563077641165997
Hvs01	RRS	GPCA	55681	7689	12.776718500532695
Hvs01	Hs01	GPCA	4973	8205	12.162381407740801
Hvs01	RRS	GPCA	12522	9385	12.520901461637347
Hvs01	Lit-BM	GPCA	10799	55199	11.729451220212553
Hvs01	Hs01	GPCA	56508	5002	20.727035916086685
Hvs01	RRS	GPCA	1484	3712	13.521530960486839
Hvs01	RRS	GPCA	7019	5848	11.131063484677489
Hvs01	Hs01	GPCA	100068264	6806	11.636240002599726
Hvs01	Hs01	GPCA	5894	53053	15.432313556922919
Hvs01	Hs01	GPCA	961	1227	10.887487609954878
Hvs01	RRS	GPCA	9881	6884	11.757628424113928
Hvs01	Lit-BM	GPCA	70281	9637	16.423765087756784
Hvs01	Hs01	GPCA	55879	11060	10.339072239982915
Hvs01	RRS	GPCA	12387	430	12.262141363625306
Hvs01	Hs01	GPCA	100000407	55633	14.445138024678847
Hvs01	Lit-BM	GPCA	14210	35	12.823332760204313
Hvs01	Lit-BM	GPCA	4623	53934	12.183621248444474
