orf_id_a	orf_id_b	result	experiment	source
61	53120	0.0	testing_y2h_v3	Lit_BM_13
61	53120	0.0	testing_y2h_v1	Lit_BM_13
61	53120	0.0	testing_y2h_v2	Lit_BM_13
69	3380	0.0	testing_y2h_v3	Lit_BM_13
69	3380	0.0	testing_y2h_v1	Lit_BM_13
69	3380	0.0	testing_y2h_v2	Lit_BM_13
69	8010	0.0	testing_y2h_v3	Lit_BM_13
69	8010	0.0	testing_y2h_v1	Lit_BM_13
69	8010	0.0	testing_y2h_v2	Lit_BM_13
69	56285	0.0	testing_y2h_v3	Lit_BM_13
69	56285	0.0	testing_y2h_v1	Lit_BM_13
69	56285	0.0	testing_y2h_v2	Lit_BM_13
98	4616	0.0	testing_y2h_v3	Lit_BM_13
98	4616		testing_y2h_v1	Lit_BM_13
98	4616		testing_y2h_v2	Lit_BM_13
110	501	0.0	testing_y2h_v3	RRS
110	501	0.0	testing_y2h_v1	RRS
110	4489	0.0	testing_y2h_v3	Lit_BM_13
110	4489	0.0	testing_y2h_v1	Lit_BM_13
110	4489	0.0	testing_y2h_v2	Lit_BM_13
110	6596	0.0	testing_y2h_v3	Lit_BM_13
110	6596	0.0	testing_y2h_v1	Lit_BM_13
110	6596	0.0	testing_y2h_v2	Lit_BM_13
110	6722	0.0	testing_y2h_v3	Lit_BM_13
110	6722	0.0	testing_y2h_v1	Lit_BM_13
110	6722	0.0	testing_y2h_v2	Lit_BM_13
110	53218	0.0	testing_y2h_v3	Lit_BM_13
110	53218	0.0	testing_y2h_v1	Lit_BM_13
110	53218	0.0	testing_y2h_v2	Lit_BM_13
113	2663	0.0	testing_y2h_v3	Lit_BM_13
113	2663	0.0	testing_y2h_v1	Lit_BM_13
113	2663	0.0	testing_y2h_v2	Lit_BM_13
115	1095	0.0	testing_y2h_v3	test_space_y2h_v3
115	7312	0.0	testing_y2h_v3	test_space_y2h_v3
127	6660		testing_y2h_v3	Lit_BM_13
127	6660	0.0	testing_y2h_v1	Lit_BM_13
127	6660	0.0	testing_y2h_v2	Lit_BM_13
127	54334	0.0	testing_y2h_v3	Lit_BM_13
127	54334	0.0	testing_y2h_v1	Lit_BM_13
127	54334	0.0	testing_y2h_v2	Lit_BM_13
130	4516	0.0	testing_y2h_v1	test_space_y2h_v1
163	3330	0.0	testing_y2h_v3	Lit_BM_13
163	3330	0.0	testing_y2h_v1	Lit_BM_13
163	3330	0.0	testing_y2h_v2	Lit_BM_13
163	4687	0.0	testing_y2h_v3	Lit_BM_13
163	4687	0.0	testing_y2h_v1	Lit_BM_13
163	4687	0.0	testing_y2h_v2	Lit_BM_13
163	56861	0.0	testing_y2h_v3	Lit_BM_13
163	56861	0.0	testing_y2h_v1	Lit_BM_13
