Ensembl_gene_id_a	Ensembl_gene_id_b	in_HuRI	in_test_space	in_Rual	in_Venkatesan	in_Yu	in_Rolland	in_Yang
ENSG00000000005	ENSG00000061656	1	0	0	0	0	0	0
ENSG00000000005	ENSG00000099968	1	0	0	0	0	0	0
ENSG00000000005	ENSG00000104765	1	0	0	0	0	0	0
ENSG00000000005	ENSG00000105383	1	0	0	0	0	0	0
ENSG00000000005	ENSG00000114455	1	0	0	0	0	0	0
ENSG00000000005	ENSG00000124103	1	0	0	0	0	0	0
ENSG00000000005	ENSG00000139637	1	0	0	0	0	0	0
ENSG00000000005	ENSG00000150337	1	0	0	0	0	0	0
ENSG00000000005	ENSG00000157613	1	0	0	0	0	0	0
ENSG00000000005	ENSG00000163472	1	0	0	0	0	1	0
ENSG00000000005	ENSG00000167741	1	0	0	0	0	0	0
ENSG00000000005	ENSG00000169379	1	0	0	0	0	0	0
ENSG00000000005	ENSG00000176171	1	0	0	0	0	0	0
ENSG00000000005	ENSG00000181754	1	0	0	0	0	0	0
ENSG00000000005	ENSG00000184988	1	0	0	0	0	0	0
ENSG00000000005	ENSG00000242019	1	0	0	0	0	0	0
ENSG00000000419	ENSG00000106511	1	0	0	0	0	0	0
ENSG00000000419	ENSG00000151790	0	0	0	0	0	1	0
ENSG00000000457	ENSG00000034713	1	0	0	0	0	0	0
ENSG00000000457	ENSG00000100348	1	0	0	0	0	1	0
ENSG00000000457	ENSG00000139112	1	0	0	0	0	1	0
ENSG00000000457	ENSG00000162624	0	0	0	0	0	1	0
ENSG00000000457	ENSG00000198420	1	0	0	0	0	0	0
ENSG00000000460	ENSG00000149380	1	0	0	0	0	0	0
ENSG00000001036	ENSG00000085741	1	0	0	0	0	0	0
ENSG00000001036	ENSG00000105576	1	0	0	0	0	0	0
ENSG00000001036	ENSG00000105991	1	0	0	0	0	0	0
ENSG00000001036	ENSG00000106511	0	0	0	0	0	1	0
ENSG00000001036	ENSG00000108256	1	0	0	0	0	0	0
ENSG00000001036	ENSG00000127445	1	0	0	0	0	0	0
ENSG00000001036	ENSG00000138867	1	0	0	0	0	0	0
ENSG00000001036	ENSG00000186226	1	0	0	0	0	0	0
ENSG00000001036	ENSG00000186844	1	0	0	0	0	0	0
ENSG00000001036	ENSG00000187170	1	0	0	0	0	0	0
ENSG00000001036	ENSG00000188730	1	0	0	0	0	0	0
ENSG00000001036	ENSG00000196224	1	0	0	0	0	0	0
ENSG00000001036	ENSG00000196734	1	0	0	0	0	0	0
ENSG00000001036	ENSG00000205867	1	0	0	0	0	0	0
ENSG00000001036	ENSG00000213416	1	0	0	0	0	0	0
ENSG00000001036	ENSG00000215455	1	0	0	0	0	0	0
ENSG00000001167	ENSG00000062725	0	0	1	0	0	0	0
ENSG00000001167	ENSG00000066136	1	0	0	0	0	0	0
ENSG00000001167	ENSG00000101266	1	0	0	0	0	1	0
ENSG00000001167	ENSG00000120837	1	0	0	0	0	1	0
ENSG00000001167	ENSG00000124788	1	0	0	0	0	0	0
ENSG00000001167	ENSG00000135482	1	0	0	0	1	0	0
ENSG00000001167	ENSG00000136451	1	0	0	0	0	0	0
ENSG00000001167	ENSG00000143190	1	0	0	0	0	0	0
ENSG00000001167	ENSG00000143442	1	0	0	0	0	1	0
ENSG00000001167	ENSG00000146963	1	0	0	0	0	1	0
ENSG00000001167	ENSG00000161202	1	0	0	0	0	0	0
ENSG00000001167	ENSG00000165417	1	0	0	0	0	1	0
ENSG00000001167	ENSG00000172530	1	0	0	0	0	0	0
ENSG00000001167	ENSG00000198218	1	0	0	0	0	0	0
ENSG00000001167	ENSG00000198258	1	0	0	0	0	0	0
ENSG00000001167	ENSG00000198420	1	0	0	0	1	0	0
ENSG00000001461	ENSG00000101363	1	0	0	0	0	0	0
ENSG00000001461	ENSG00000105369	1	0	0	0	0	0	0
ENSG00000001461	ENSG00000137210	1	0	0	0	0	0	0
ENSG00000001461	ENSG00000158813	1	0	0	0	0	1	0
ENSG00000001461	ENSG00000160131	1	0	0	0	0	0	0
ENSG00000001461	ENSG00000164294	1	0	0	0	0	0	0
ENSG00000001461	ENSG00000168958	1	0	0	0	0	0	0
ENSG00000001461	ENSG00000185883	1	0	0	0	0	0	0
ENSG00000001461	ENSG00000265107	1	0	0	0	0	0	0
ENSG00000001561	ENSG00000105677	1	0	0	0	0	0	0
ENSG00000001561	ENSG00000139644	1	0	0	0	0	0	0
ENSG00000001631	ENSG00000078140	1	0	0	0	0	0	0
ENSG00000002016	ENSG00000002016	1	0	0	0	0	0	0
ENSG00000002016	ENSG00000005102	1	0	0	0	0	0	0
ENSG00000002016	ENSG00000066136	1	0	0	0	0	0	0
ENSG00000002016	ENSG00000102753	1	0	0	0	0	0	0
ENSG00000002016	ENSG00000106511	1	0	0	0	0	0	0
ENSG00000002016	ENSG00000173846	1	0	0	0	0	0	0
ENSG00000002016	ENSG00000196092	1	0	0	0	0	0	0
ENSG00000002016	ENSG00000196911	1	0	0	0	0	0	0
ENSG00000002016	ENSG00000272886	1	0	0	0	0	0	0
ENSG00000002016	ENSG00000278023	1	0	0	0	0	0	0
ENSG00000002330	ENSG00000077522	1	0	0	0	0	0	0
ENSG00000002330	ENSG00000094796	1	0	0	0	0	0	0
ENSG00000002330	ENSG00000129473	1	1	0	0	0	0	0
ENSG00000002330	ENSG00000171552	1	0	0	0	0	1	1
ENSG00000002330	ENSG00000175793	0	0	1	0	0	0	0
ENSG00000002330	ENSG00000182944	0	0	1	0	0	0	0
ENSG00000002549	ENSG00000065029	1	0	0	0	0	0	0
ENSG00000002549	ENSG00000084764	1	0	0	0	0	0	0
ENSG00000002549	ENSG00000094916	1	0	0	0	0	0	0
ENSG00000002549	ENSG00000117461	1	0	0	0	0	0	0
ENSG00000002549	ENSG00000122565	1	0	0	0	0	0	0
ENSG00000002549	ENSG00000150773	1	0	0	0	0	0	0
ENSG00000002549	ENSG00000158773	1	0	0	0	0	0	0
ENSG00000002549	ENSG00000159840	1	0	0	0	0	0	0
ENSG00000002549	ENSG00000172530	1	0	0	0	0	0	0
ENSG00000002586	ENSG00000135018	0	0	1	0	0	0	0
ENSG00000002726	ENSG00000135482	1	0	0	0	0	0	0
ENSG00000002726	ENSG00000143442	1	0	0	0	0	0	0
ENSG00000002726	ENSG00000151923	1	0	0	0	0	0	0
ENSG00000002726	ENSG00000156795	1	0	0	0	0	0	0
ENSG00000002726	ENSG00000160973	1	0	0	0	0	0	0
ENSG00000002726	ENSG00000162144	0	0	0	0	1	0	0
ENSG00000002726	ENSG00000164438	1	0	0	0	0	0	0
ENSG00000002726	ENSG00000166831	1	0	0	0	0	0	0
ENSG00000002726	ENSG00000183283	1	0	0	0	0	0	0
ENSG00000002726	ENSG00000183640	1	0	0	0	0	0	0
ENSG00000002746	ENSG00000148704	1	0	0	0	0	0	0
ENSG00000002822	ENSG00000002822	0	0	1	0	0	0	0
ENSG00000002822	ENSG00000012779	1	0	0	0	0	1	0
ENSG00000002822	ENSG00000048540	1	0	0	0	0	0	0
ENSG00000002822	ENSG00000057663	1	0	0	0	0	0	0
ENSG00000002822	ENSG00000068394	1	0	0	0	0	0	0
ENSG00000002822	ENSG00000072201	1	0	0	0	0	0	0
ENSG00000002822	ENSG00000078114	1	0	0	0	0	1	0
ENSG00000002822	ENSG00000083535	1	0	0	0	0	0	0
ENSG00000002822	ENSG00000088727	1	0	0	0	0	0	0
ENSG00000002822	ENSG00000101004	0	0	1	0	0	0	0
ENSG00000002822	ENSG00000103528	1	0	0	0	0	0	0
ENSG00000002822	ENSG00000105248	0	0	0	0	0	1	0
ENSG00000002822	ENSG00000105401	1	0	0	0	0	0	0
ENSG00000002822	ENSG00000105617	1	0	0	0	0	0	0
ENSG00000002822	ENSG00000112130	1	0	0	0	0	1	0
ENSG00000002822	ENSG00000114019	0	0	1	0	0	0	0
ENSG00000002822	ENSG00000117266	1	0	0	0	0	0	0
ENSG00000002822	ENSG00000119862	1	0	0	0	0	1	0
ENSG00000002822	ENSG00000120498	0	0	1	0	0	0	0
ENSG00000002822	ENSG00000121297	0	0	0	0	0	1	0
ENSG00000002822	ENSG00000129084	0	0	0	0	0	1	0
ENSG00000002822	ENSG00000131375	1	0	0	0	0	0	0
ENSG00000002822	ENSG00000134207	1	0	0	0	0	0	0
ENSG00000002822	ENSG00000135655	1	0	0	0	0	1	0
ENSG00000002822	ENSG00000135951	1	0	0	0	0	0	0
ENSG00000002822	ENSG00000137699	1	0	1	0	0	1	0
ENSG00000002822	ENSG00000137822	0	0	1	0	0	0	0
ENSG00000002822	ENSG00000140259	1	0	0	0	0	1	0
ENSG00000002822	ENSG00000140416	1	0	0	0	0	1	1
ENSG00000002822	ENSG00000140987	0	0	0	0	0	1	0
ENSG00000002822	ENSG00000141013	1	0	0	0	0	0	0
ENSG00000002822	ENSG00000143549	1	0	0	0	1	1	0
ENSG00000002822	ENSG00000146112	1	0	0	0	0	0	0
ENSG00000002822	ENSG00000147140	0	0	1	0	0	0	0
ENSG00000002822	ENSG00000152240	0	0	0	0	0	1	0
ENSG00000002822	ENSG00000152404	1	0	0	0	0	1	0
ENSG00000002822	ENSG00000156795	1	0	0	0	0	0	0
ENSG00000002822	ENSG00000157514	1	0	0	0	0	1	0
ENSG00000002822	ENSG00000158480	0	0	0	0	0	1	0
ENSG00000002822	ENSG00000163071	1	0	0	0	0	0	0
ENSG00000002822	ENSG00000164109	1	0	1	0	0	0	0
ENSG00000002822	ENSG00000166170	1	0	0	0	0	1	0
ENSG00000002822	ENSG00000166407	1	0	0	0	0	0	0
ENSG00000002822	ENSG00000171847	1	0	0	0	0	0	0
ENSG00000002822	ENSG00000176155	1	0	0	0	0	0	0
ENSG00000002822	ENSG00000185264	1	0	0	0	0	0	0
ENSG00000002822	ENSG00000185519	0	0	1	0	0	0	0
ENSG00000002822	ENSG00000198420	1	0	0	0	0	0	0
ENSG00000002822	ENSG00000204536	1	0	0	0	0	1	0
ENSG00000002834	ENSG00000054965	1	0	0	0	0	0	0
ENSG00000002834	ENSG00000062822	1	0	0	0	0	0	0
ENSG00000002834	ENSG00000064218	1	0	0	0	0	0	0
ENSG00000002834	ENSG00000064835	1	0	0	0	0	0	0
ENSG00000002834	ENSG00000064999	1	0	0	0	0	0	0
ENSG00000002834	ENSG00000069011	1	0	0	0	0	0	0
ENSG00000002834	ENSG00000070808	1	0	0	0	0	0	0
ENSG00000002834	ENSG00000071539	1	0	1	1	1	1	0
ENSG00000002834	ENSG00000078328	1	0	0	0	0	0	0
ENSG00000002834	ENSG00000085872	1	0	0	0	0	0	0
ENSG00000002834	ENSG00000091073	1	0	0	0	0	0	0
ENSG00000002834	ENSG00000100167	0	0	0	0	0	1	0
ENSG00000002834	ENSG00000100567	0	0	0	0	0	1	0
ENSG00000002834	ENSG00000102898	1	0	0	0	0	0	0
ENSG00000002834	ENSG00000103043	1	0	0	0	0	0	0
ENSG00000002834	ENSG00000104427	0	0	0	0	0	1	0
ENSG00000002834	ENSG00000104973	1	0	0	0	0	0	0
ENSG00000002834	ENSG00000105991	1	0	0	0	0	0	0
ENSG00000002834	ENSG00000107816	0	0	0	0	0	1	0
ENSG00000002834	ENSG00000108255	1	0	0	0	0	0	0
ENSG00000002834	ENSG00000111077	1	0	0	0	0	0	0
ENSG00000002834	ENSG00000112559	1	0	1	1	0	0	0
ENSG00000002834	ENSG00000114354	1	0	0	0	0	0	0
ENSG00000002834	ENSG00000115507	1	0	0	0	0	0	0
ENSG00000002834	ENSG00000124788	1	0	0	0	0	0	0
ENSG00000002834	ENSG00000124827	1	0	0	0	0	0	0
ENSG00000002834	ENSG00000125409	1	0	0	0	0	0	0
ENSG00000002834	ENSG00000127054	1	0	0	0	0	0	0
ENSG00000002834	ENSG00000129245	0	0	0	0	0	1	0
ENSG00000002834	ENSG00000130762	1	0	0	0	0	0	0
ENSG00000002834	ENSG00000131721	1	0	0	0	0	1	0
ENSG00000002834	ENSG00000131931	0	0	0	0	0	1	0
ENSG00000002834	ENSG00000134107	1	0	0	0	0	0	0
ENSG00000002834	ENSG00000135482	1	0	0	0	0	0	0
ENSG00000002834	ENSG00000136158	0	0	0	0	0	1	0
ENSG00000002834	ENSG00000136451	1	0	0	0	0	0	0
ENSG00000002834	ENSG00000137075	1	0	0	0	0	0	0
ENSG00000002834	ENSG00000137098	1	0	0	0	0	0	0
ENSG00000002834	ENSG00000138867	1	0	0	0	0	0	0
