Ensembl_gene_id_a	Ensembl_gene_id_b	in_screen_1	in_screen_2	in_screen_3	in_screen_4	in_screen_5	in_screen_6	in_screen_7	in_screen_8	in_screen_9	in_assay_v1	in_assay_v2	in_assay_v3
ENSG00000000005	ENSG00000061656	0	0	0	0	0	1	0	0	0	0	1	0
ENSG00000000005	ENSG00000099968	0	0	0	0	1	0	0	0	0	0	1	0
ENSG00000000005	ENSG00000104765	0	0	1	0	0	0	0	0	0	1	0	0
ENSG00000000005	ENSG00000105383	0	0	0	0	0	0	0	0	1	0	0	1
ENSG00000000005	ENSG00000114455	0	0	0	0	0	0	0	0	1	0	0	1
ENSG00000000005	ENSG00000124103	0	0	0	0	0	0	1	0	0	0	0	1
ENSG00000000005	ENSG00000139637	0	0	0	0	0	0	1	0	0	0	0	1
ENSG00000000005	ENSG00000150337	0	0	0	0	0	0	0	0	1	0	0	1
ENSG00000000005	ENSG00000157613	0	0	0	0	1	0	0	0	0	0	1	0
ENSG00000000005	ENSG00000163472	1	1	1	0	0	0	0	0	0	1	0	0
ENSG00000000005	ENSG00000167741	0	0	0	0	0	1	0	0	0	0	1	0
ENSG00000000005	ENSG00000169379	0	0	0	0	0	0	0	0	1	0	0	1
ENSG00000000005	ENSG00000176171	1	0	0	0	0	0	0	0	0	1	0	0
ENSG00000000005	ENSG00000181754	0	0	0	0	0	0	1	0	0	0	0	1
ENSG00000000005	ENSG00000184988	0	0	0	1	0	0	0	0	0	0	1	0
ENSG00000000005	ENSG00000242019	0	0	0	0	0	0	1	0	0	0	0	1
ENSG00000000419	ENSG00000106511	0	1	0	0	0	0	0	0	0	1	0	0
ENSG00000000457	ENSG00000034713	0	1	0	0	0	0	0	0	0	1	0	0
ENSG00000000457	ENSG00000100348	1	1	1	0	0	0	0	0	0	1	0	0
ENSG00000000457	ENSG00000139112	0	1	0	0	0	0	0	0	0	1	0	0
ENSG00000000457	ENSG00000198420	0	1	0	0	0	0	0	0	0	1	0	0
ENSG00000000460	ENSG00000149380	0	0	0	0	0	0	1	0	0	0	0	1
ENSG00000001036	ENSG00000085741	0	0	0	1	0	0	0	0	0	0	1	0
ENSG00000001036	ENSG00000105576	0	0	0	0	0	1	0	0	0	0	1	0
ENSG00000001036	ENSG00000105991	0	0	0	0	0	1	0	0	0	0	1	0
ENSG00000001036	ENSG00000108256	0	0	0	0	0	1	0	0	0	0	1	0
ENSG00000001036	ENSG00000127445	0	0	0	1	0	0	0	0	0	0	1	0
ENSG00000001036	ENSG00000138867	0	0	0	0	0	1	0	0	0	0	1	0
ENSG00000001036	ENSG00000186226	0	0	0	0	1	0	0	0	0	0	1	0
ENSG00000001036	ENSG00000186844	0	0	0	0	1	0	0	0	0	0	1	0
ENSG00000001036	ENSG00000187170	0	0	0	0	0	1	0	0	0	0	1	0
ENSG00000001036	ENSG00000188730	0	0	0	0	1	0	0	0	0	0	1	0
ENSG00000001036	ENSG00000196224	0	0	0	1	0	0	0	0	0	0	1	0
ENSG00000001036	ENSG00000196734	0	0	0	0	0	1	0	0	0	0	1	0
ENSG00000001036	ENSG00000205867	0	0	1	0	0	0	0	0	0	1	0	0
ENSG00000001036	ENSG00000213416	0	0	0	1	0	1	0	0	0	0	1	0
ENSG00000001036	ENSG00000215455	0	0	0	0	1	0	0	0	0	0	1	0
ENSG00000001167	ENSG00000066136	1	0	1	0	0	0	0	0	0	1	0	0
ENSG00000001167	ENSG00000101266	1	0	1	0	0	0	0	0	0	1	0	0
ENSG00000001167	ENSG00000120837	1	1	0	1	0	0	0	0	0	1	1	0
ENSG00000001167	ENSG00000124788	0	0	0	0	1	0	0	0	0	0	1	0
ENSG00000001167	ENSG00000135482	1	0	0	0	0	0	0	0	0	1	0	0
ENSG00000001167	ENSG00000136451	0	0	0	0	1	0	0	0	0	0	1	0
ENSG00000001167	ENSG00000143190	1	0	0	1	0	0	0	0	0	1	1	0
ENSG00000001167	ENSG00000143442	1	1	0	0	0	0	0	0	0	1	0	0
ENSG00000001167	ENSG00000146963	1	0	0	0	0	0	0	0	0	1	0	0
ENSG00000001167	ENSG00000161202	0	0	0	1	0	0	0	0	0	0	1	0
ENSG00000001167	ENSG00000165417	1	0	0	0	0	0	0	0	0	1	0	0
ENSG00000001167	ENSG00000172530	0	0	1	0	0	0	0	0	0	1	0	0
ENSG00000001167	ENSG00000198218	0	0	0	1	0	0	0	0	0	0	1	0
ENSG00000001167	ENSG00000198258	0	0	0	0	1	1	0	0	0	0	1	0
ENSG00000001167	ENSG00000198420	1	1	0	0	0	0	0	0	0	1	0	0
ENSG00000001461	ENSG00000101363	0	0	0	0	0	0	0	0	1	0	0	1
ENSG00000001461	ENSG00000105369	0	0	0	0	0	0	0	0	1	0	0	1
ENSG00000001461	ENSG00000137210	0	0	0	0	0	0	0	1	0	0	0	1
ENSG00000001461	ENSG00000158813	1	0	1	0	0	0	0	0	0	1	0	0
ENSG00000001461	ENSG00000160131	0	0	0	0	0	0	0	1	0	0	0	1
ENSG00000001461	ENSG00000164294	0	0	0	0	0	0	0	1	0	0	0	1
ENSG00000001461	ENSG00000168958	1	0	0	0	0	0	0	0	0	1	0	0
ENSG00000001461	ENSG00000185883	0	0	0	0	0	0	1	0	0	0	0	1
ENSG00000001461	ENSG00000265107	0	0	0	0	0	0	1	0	1	0	0	1
ENSG00000001561	ENSG00000105677	0	0	0	0	0	0	1	0	0	0	0	1
ENSG00000001561	ENSG00000139644	0	0	0	0	0	0	0	1	0	0	0	1
ENSG00000001631	ENSG00000078140	0	0	0	0	0	1	0	0	0	0	1	0
ENSG00000002016	ENSG00000002016	1	0	1	0	0	0	0	0	0	1	0	0
ENSG00000002016	ENSG00000005102	0	1	1	0	0	0	0	0	0	1	0	0
ENSG00000002016	ENSG00000066136	0	0	1	0	0	0	0	0	0	1	0	0
ENSG00000002016	ENSG00000102753	1	0	0	0	0	0	0	0	0	1	0	0
ENSG00000002016	ENSG00000106511	0	0	1	0	0	0	0	0	0	1	0	0
ENSG00000002016	ENSG00000173846	0	0	1	0	0	0	0	0	0	1	0	0
ENSG00000002016	ENSG00000196092	0	1	1	0	0	0	0	0	0	1	0	0
ENSG00000002016	ENSG00000196911	0	0	0	0	1	0	0	0	0	0	1	0
ENSG00000002016	ENSG00000272886	0	1	1	0	1	0	0	0	0	1	1	0
ENSG00000002016	ENSG00000278023	0	0	1	0	1	0	0	0	0	1	1	0
ENSG00000002330	ENSG00000077522	0	1	0	0	0	0	0	0	0	1	0	0
ENSG00000002330	ENSG00000094796	0	1	0	0	0	0	0	0	0	1	0	0
ENSG00000002330	ENSG00000129473	0	0	0	1	1	1	0	0	0	0	1	0
ENSG00000002330	ENSG00000171552	0	0	0	0	1	1	0	0	0	0	1	0
ENSG00000002549	ENSG00000065029	0	0	0	0	0	1	0	0	0	0	1	0
ENSG00000002549	ENSG00000084764	0	0	0	0	0	0	1	0	0	0	0	1
ENSG00000002549	ENSG00000094916	0	0	0	1	0	1	0	0	0	0	1	0
ENSG00000002549	ENSG00000117461	0	0	0	0	0	0	0	0	1	0	0	1
ENSG00000002549	ENSG00000122565	0	0	1	0	0	1	0	0	0	1	1	0
ENSG00000002549	ENSG00000150773	0	0	0	0	0	0	0	0	1	0	0	1
ENSG00000002549	ENSG00000158773	0	0	0	0	0	0	0	0	1	0	0	1
ENSG00000002549	ENSG00000159840	1	1	0	0	0	0	0	0	0	1	0	0
ENSG00000002549	ENSG00000172530	1	0	0	0	0	0	0	0	0	1	0	0
ENSG00000002726	ENSG00000135482	0	0	0	1	0	0	0	0	0	0	1	0
ENSG00000002726	ENSG00000143442	0	0	0	0	1	0	0	0	0	0	1	0
ENSG00000002726	ENSG00000151923	0	0	0	0	0	1	0	0	0	0	1	0
ENSG00000002726	ENSG00000156795	0	0	0	0	1	0	0	0	0	0	1	0
ENSG00000002726	ENSG00000160973	0	0	0	0	1	0	0	0	0	0	1	0
ENSG00000002726	ENSG00000164438	0	0	0	0	0	0	0	1	0	0	0	1
ENSG00000002726	ENSG00000166831	0	0	0	0	1	0	0	0	0	0	1	0
ENSG00000002726	ENSG00000183283	0	0	0	0	1	0	0	0	0	0	1	0
ENSG00000002726	ENSG00000183640	0	0	0	1	0	0	0	0	0	0	1	0
ENSG00000002746	ENSG00000148704	0	0	0	0	0	0	1	0	0	0	0	1
ENSG00000002822	ENSG00000012779	0	1	0	0	0	0	0	0	0	1	0	0
ENSG00000002822	ENSG00000048540	1	1	0	0	0	0	0	0	0	1	0	0
ENSG00000002822	ENSG00000057663	1	0	1	0	0	0	0	0	0	1	0	0
ENSG00000002822	ENSG00000068394	1	0	0	0	0	0	0	0	0	1	0	0
ENSG00000002822	ENSG00000072201	1	1	0	0	0	0	0	0	0	1	0	0
ENSG00000002822	ENSG00000078114	1	0	1	0	0	0	0	0	0	1	0	0
ENSG00000002822	ENSG00000083535	0	1	1	0	0	0	0	0	0	1	0	0
ENSG00000002822	ENSG00000088727	0	1	0	0	0	0	0	0	0	1	0	0
ENSG00000002822	ENSG00000103528	0	0	1	0	0	0	0	0	0	1	0	0
ENSG00000002822	ENSG00000105401	0	1	1	0	0	0	0	0	0	1	0	0
ENSG00000002822	ENSG00000105617	1	0	0	0	0	0	0	0	0	1	0	0
ENSG00000002822	ENSG00000112130	1	1	1	0	0	0	0	0	0	1	0	0
ENSG00000002822	ENSG00000117266	1	1	1	0	0	0	0	0	0	1	0	0
ENSG00000002822	ENSG00000119862	1	1	1	0	0	0	0	0	0	1	0	0
ENSG00000002822	ENSG00000131375	1	0	0	0	0	0	0	0	0	1	0	0
ENSG00000002822	ENSG00000134207	0	0	1	0	0	0	0	0	0	1	0	0
ENSG00000002822	ENSG00000135655	0	1	1	0	0	0	0	0	0	1	0	0
ENSG00000002822	ENSG00000135951	0	1	0	0	0	0	0	0	0	1	0	0
ENSG00000002822	ENSG00000137699	0	1	0	0	0	0	0	0	0	1	0	0
ENSG00000002822	ENSG00000140259	1	1	0	0	0	0	0	0	0	1	0	0
