	ensembl_gene_id_a	ensembl_gene_id_b	n_publications	n_methods	n_evidences	date
ENSG00000033178_ENSG00000213886	ENSG00000033178	ENSG00000213886	2	3	3	2012-05-04
ENSG00000033178_ENSG00000159202	ENSG00000033178	ENSG00000159202	5	3	6	2010-05-04
ENSG00000159202_ENSG00000213886	ENSG00000159202	ENSG00000213886	2	3	3	2014-04-01
ENSG00000115414_ENSG00000117868	ENSG00000115414	ENSG00000117868	1	2	2	2009-09-08
ENSG00000115414_ENSG00000125107	ENSG00000115414	ENSG00000125107	1	2	2	2009-09-08
ENSG00000101596_ENSG00000115414	ENSG00000101596	ENSG00000115414	1	2	2	2009-09-08
ENSG00000092531_ENSG00000115414	ENSG00000092531	ENSG00000115414	1	2	2	2009-09-08
ENSG00000115414_ENSG00000116266	ENSG00000115414	ENSG00000116266	1	2	2	2009-09-08
ENSG00000108671_ENSG00000115414	ENSG00000108671	ENSG00000115414	1	2	2	2009-09-08
ENSG00000115414_ENSG00000196235	ENSG00000115414	ENSG00000196235	1	2	2	2009-09-08
ENSG00000115414_ENSG00000175390	ENSG00000115414	ENSG00000175390	1	2	2	2009-09-08
ENSG00000065150_ENSG00000115414	ENSG00000065150	ENSG00000115414	1	2	2	2009-09-08
ENSG00000115414_ENSG00000136231	ENSG00000115414	ENSG00000136231	1	2	2	2009-09-08
ENSG00000105669_ENSG00000115414	ENSG00000105669	ENSG00000115414	1	2	2	2009-09-08
ENSG00000105185_ENSG00000115414	ENSG00000105185	ENSG00000115414	1	2	2	2009-09-08
ENSG00000100462_ENSG00000115414	ENSG00000100462	ENSG00000115414	1	2	2	2009-09-08
ENSG00000115414_ENSG00000152795	ENSG00000115414	ENSG00000152795	1	2	2	2009-09-08
ENSG00000082898_ENSG00000115414	ENSG00000082898	ENSG00000115414	1	2	2	2009-09-08
ENSG00000111229_ENSG00000115414	ENSG00000111229	ENSG00000115414	1	2	2	2009-09-08
ENSG00000115414_ENSG00000171453	ENSG00000115414	ENSG00000171453	1	2	2	2009-09-08
ENSG00000115414_ENSG00000155962	ENSG00000115414	ENSG00000155962	1	2	2	2009-09-08
ENSG00000109606_ENSG00000115414	ENSG00000109606	ENSG00000115414	1	2	2	2009-09-08
ENSG00000115414_ENSG00000136875	ENSG00000115414	ENSG00000136875	1	2	2	2009-09-08
ENSG00000092621_ENSG00000115414	ENSG00000092621	ENSG00000115414	1	2	2	2009-09-08
ENSG00000086827_ENSG00000115414	ENSG00000086827	ENSG00000115414	1	2	2	2009-09-08
ENSG00000115414_ENSG00000131495	ENSG00000115414	ENSG00000131495	1	2	2	2009-09-08
ENSG00000115414_ENSG00000130402	ENSG00000115414	ENSG00000130402	1	2	2	2009-09-08
ENSG00000115414_ENSG00000134440	ENSG00000115414	ENSG00000134440	1	2	2	2009-09-08
ENSG00000115414_ENSG00000135316	ENSG00000115414	ENSG00000135316	1	2	2	2009-09-08
ENSG00000115414_ENSG00000131504	ENSG00000115414	ENSG00000131504	1	2	2	2009-09-08
ENSG00000115414_ENSG00000158417	ENSG00000115414	ENSG00000158417	1	2	2	2009-09-08
ENSG00000115414_ENSG00000136068	ENSG00000115414	ENSG00000136068	1	2	2	2009-09-08
ENSG00000115414_ENSG00000265808	ENSG00000115414	ENSG00000265808	1	2	2	2009-09-08
ENSG00000115414_ENSG00000122958	ENSG00000115414	ENSG00000122958	1	2	2	2009-09-08
ENSG00000115414_ENSG00000213619	ENSG00000115414	ENSG00000213619	1	2	2	2009-09-08
ENSG00000115414_ENSG00000115524	ENSG00000115414	ENSG00000115524	1	2	2	2009-09-08
ENSG00000113569_ENSG00000115414	ENSG00000113569	ENSG00000115414	1	2	2	2009-09-08
ENSG00000115414_ENSG00000137312	ENSG00000115414	ENSG00000137312	1	2	2	2009-09-08
ENSG00000108010_ENSG00000115414	ENSG00000108010	ENSG00000115414	1	2	2	2009-09-08
ENSG00000115414_ENSG00000147475	ENSG00000115414	ENSG00000147475	1	2	2	2009-09-08
ENSG00000115414_ENSG00000183020	ENSG00000115414	ENSG00000183020	1	2	2	2009-09-08
ENSG00000048740_ENSG00000115414	ENSG00000048740	ENSG00000115414	1	2	2	2009-09-08
ENSG00000115414_ENSG00000183527	ENSG00000115414	ENSG00000183527	1	2	2	2009-09-08
ENSG00000115414_ENSG00000196961	ENSG00000115414	ENSG00000196961	1	2	2	2009-09-08
ENSG00000112208_ENSG00000115414	ENSG00000112208	ENSG00000115414	1	2	2	2009-09-08
ENSG00000115414_ENSG00000134333	ENSG00000115414	ENSG00000134333	1	2	2	2009-09-08
ENSG00000115414_ENSG00000148672	ENSG00000115414	ENSG00000148672	1	2	2	2009-09-08
ENSG00000115414_ENSG00000198712	ENSG00000115414	ENSG00000198712	1	2	2	2009-09-08
ENSG00000115414_ENSG00000146648	ENSG00000115414	ENSG00000146648	1	2	2	2009-12-22
ENSG00000102144_ENSG00000115414	ENSG00000102144	ENSG00000115414	1	2	2	2009-09-08
ENSG00000115414_ENSG00000115414	ENSG00000115414	ENSG00000115414	5	5	7	2007-10-02
ENSG00000187164_ENSG00000269335	ENSG00000187164	ENSG00000269335	1	2	2	2010-01-20
ENSG00000109205_ENSG00000269335	ENSG00000109205	ENSG00000269335	1	2	2	2010-01-20
ENSG00000118515_ENSG00000269335	ENSG00000118515	ENSG00000269335	1	2	2	2010-01-20
ENSG00000115694_ENSG00000269335	ENSG00000115694	ENSG00000269335	1	2	2	2010-01-20
ENSG00000092208_ENSG00000269335	ENSG00000092208	ENSG00000269335	1	2	2	2010-01-20
ENSG00000104365_ENSG00000269335	ENSG00000104365	ENSG00000269335	67	11	74	2008-05-01
ENSG00000153140_ENSG00000269335	ENSG00000153140	ENSG00000269335	1	2	2	2010-01-20
ENSG00000056998_ENSG00000269335	ENSG00000056998	ENSG00000269335	1	2	2	2010-01-20
ENSG00000110031_ENSG00000269335	ENSG00000110031	ENSG00000269335	1	2	2	2010-01-20
ENSG00000115825_ENSG00000269335	ENSG00000115825	ENSG00000269335	1	2	2	2010-01-20
ENSG00000130222_ENSG00000269335	ENSG00000130222	ENSG00000269335	1	2	2	2010-01-20
ENSG00000146648_ENSG00000269335	ENSG00000146648	ENSG00000269335	2	2	2	2015-01-01
ENSG00000166501_ENSG00000269335	ENSG00000166501	ENSG00000269335	1	2	2	2010-01-20
ENSG00000111057_ENSG00000269335	ENSG00000111057	ENSG00000269335	1	2	2	2011-10-11
ENSG00000170421_ENSG00000269335	ENSG00000170421	ENSG00000269335	2	3	3	2011-10-11
ENSG00000104327_ENSG00000269335	ENSG00000104327	ENSG00000269335	1	3	3	2010-01-20
ENSG00000182866_ENSG00000269335	ENSG00000182866	ENSG00000269335	1	2	2	2010-01-20
ENSG00000189060_ENSG00000269335	ENSG00000189060	ENSG00000269335	1	2	2	2010-01-20
ENSG00000165731_ENSG00000269335	ENSG00000165731	ENSG00000269335	1	2	2	2010-01-20
ENSG00000150991_ENSG00000269335	ENSG00000150991	ENSG00000269335	28	6	32	2008-06-12
ENSG00000133112_ENSG00000269335	ENSG00000133112	ENSG00000269335	1	2	2	2010-01-20
ENSG00000067715_ENSG00000269335	ENSG00000067715	ENSG00000269335	1	3	3	2010-01-20
ENSG00000118503_ENSG00000269335	ENSG00000118503	ENSG00000269335	6	6	8	2000-03-01
ENSG00000123374_ENSG00000269335	ENSG00000123374	ENSG00000269335	1	4	4	2010-01-20
ENSG00000100567_ENSG00000269335	ENSG00000100567	ENSG00000269335	1	2	2	2010-01-20
ENSG00000142208_ENSG00000269335	ENSG00000142208	ENSG00000269335	2	3	3	2010-01-20
ENSG00000125388_ENSG00000269335	ENSG00000125388	ENSG00000269335	1	2	2	2010-01-20
ENSG00000166508_ENSG00000269335	ENSG00000166508	ENSG00000269335	2	3	3	2010-01-20
ENSG00000037280_ENSG00000269335	ENSG00000037280	ENSG00000269335	1	2	2	2010-01-20
ENSG00000122025_ENSG00000269335	ENSG00000122025	ENSG00000269335	1	2	2	2010-01-20
ENSG00000188739_ENSG00000269335	ENSG00000188739	ENSG00000269335	1	2	2	2010-01-20
ENSG00000082701_ENSG00000269335	ENSG00000082701	ENSG00000269335	2	3	3	2016-12-08
ENSG00000105639_ENSG00000269335	ENSG00000105639	ENSG00000269335	1	2	2	2010-01-20
ENSG00000196730_ENSG00000269335	ENSG00000196730	ENSG00000269335	1	2	2	2010-01-20
ENSG00000116106_ENSG00000269335	ENSG00000116106	ENSG00000269335	1	2	2	2010-01-20
ENSG00000128989_ENSG00000269335	ENSG00000128989	ENSG00000269335	1	2	2	2010-01-20
ENSG00000196363_ENSG00000269335	ENSG00000196363	ENSG00000269335	1	2	2	2010-01-20
ENSG00000229117_ENSG00000269335	ENSG00000229117	ENSG00000269335	1	2	2	2010-01-20
ENSG00000215375_ENSG00000269335	ENSG00000215375	ENSG00000269335	1	2	2	2010-01-20
ENSG00000120156_ENSG00000269335	ENSG00000120156	ENSG00000269335	1	2	2	2010-01-20
ENSG00000092445_ENSG00000269335	ENSG00000092445	ENSG00000269335	1	2	2	2010-01-20
ENSG00000113263_ENSG00000269335	ENSG00000113263	ENSG00000269335	1	2	2	2010-01-20
ENSG00000132016_ENSG00000269335	ENSG00000132016	ENSG00000269335	1	2	2	2010-01-20
ENSG00000136940_ENSG00000269335	ENSG00000136940	ENSG00000269335	1	2	2	2010-01-20
ENSG00000139436_ENSG00000269335	ENSG00000139436	ENSG00000269335	1	3	3	2011-10-11
ENSG00000145901_ENSG00000269335	ENSG00000145901	ENSG00000269335	3	2	3	2011-10-11
ENSG00000182196_ENSG00000269335	ENSG00000182196	ENSG00000269335	1	2	2	2010-01-20
ENSG00000144233_ENSG00000269335	ENSG00000144233	ENSG00000269335	1	2	2	2010-01-20
ENSG00000173272_ENSG00000269335	ENSG00000173272	ENSG00000269335	1	2	2	2010-01-20
ENSG00000065328_ENSG00000269335	ENSG00000065328	ENSG00000269335	1	2	2	2010-01-20
ENSG00000198435_ENSG00000269335	ENSG00000198435	ENSG00000269335	1	2	2	2010-01-20
ENSG00000182013_ENSG00000269335	ENSG00000182013	ENSG00000269335	1	2	2	2010-01-20
ENSG00000176896_ENSG00000269335	ENSG00000176896	ENSG00000269335	1	2	2	2010-01-20
ENSG00000168884_ENSG00000269335	ENSG00000168884	ENSG00000269335	2	3	3	2011-10-11
ENSG00000179271_ENSG00000269335	ENSG00000179271	ENSG00000269335	1	2	2	2010-01-20
ENSG00000242220_ENSG00000269335	ENSG00000242220	ENSG00000269335	1	2	2	2010-01-20
ENSG00000146063_ENSG00000269335	ENSG00000146063	ENSG00000269335	1	2	2	2010-01-20
ENSG00000124678_ENSG00000269335	ENSG00000124678	ENSG00000269335	1	2	2	2010-01-20
ENSG00000162441_ENSG00000269335	ENSG00000162441	ENSG00000269335	1	2	2	2010-01-20
ENSG00000005339_ENSG00000269335	ENSG00000005339	ENSG00000269335	1	2	2	2004-01-30
ENSG00000136560_ENSG00000269335	ENSG00000136560	ENSG00000269335	5	3	6	2002-10-04
ENSG00000145777_ENSG00000269335	ENSG00000145777	ENSG00000269335	1	2	2	2010-01-20
ENSG00000198498_ENSG00000269335	ENSG00000198498	ENSG00000269335	1	2	2	2010-01-20
ENSG00000148572_ENSG00000269335	ENSG00000148572	ENSG00000269335	1	2	2	2010-01-20
ENSG00000151466_ENSG00000269335	ENSG00000151466	ENSG00000269335	1	2	2	2010-01-20
ENSG00000177432_ENSG00000269335	ENSG00000177432	ENSG00000269335	1	2	2	2010-01-20
ENSG00000125967_ENSG00000269335	ENSG00000125967	ENSG00000269335	1	2	2	2010-01-20
ENSG00000096063_ENSG00000269335	ENSG00000096063	ENSG00000269335	1	2	2	2010-01-20
ENSG00000230124_ENSG00000269335	ENSG00000230124	ENSG00000269335	1	2	2	2010-01-20
ENSG00000141540_ENSG00000269335	ENSG00000141540	ENSG00000269335	1	2	2	2010-01-20
