ensembl_gene_id	n_pubmed_ids
ENSG00000000003	26
ENSG00000000005	24
ENSG00000000419	41
ENSG00000000457	18
ENSG00000000460	12
ENSG00000000938	97
ENSG00000000971	746
ENSG00000001036	24
ENSG00000001084	115
ENSG00000001167	108
ENSG00000001460	3
ENSG00000001461	12
ENSG00000001497	50
ENSG00000001561	11
ENSG00000001617	63
ENSG00000001626	1536
ENSG00000001629	15
ENSG00000001630	38
ENSG00000001631	113
ENSG00000002016	121
ENSG00000002330	272
ENSG00000002549	41
ENSG00000002586	111
ENSG00000002587	18
ENSG00000002726	53
ENSG00000002745	42
ENSG00000002746	28
ENSG00000002822	128
ENSG00000002834	95
ENSG00000002919	12
ENSG00000002933	17
ENSG00000003056	55
ENSG00000003096	23
ENSG00000003137	45
ENSG00000003147	44
ENSG00000003249	8
ENSG00000003393	56
ENSG00000003400	131
ENSG00000003402	349
ENSG00000003436	235
ENSG00000003509	14
ENSG00000003756	72
ENSG00000003987	15
ENSG00000003989	26
ENSG00000004059	49
ENSG00000004139	30
ENSG00000004142	40
ENSG00000004399	31
ENSG00000004455	41
ENSG00000004468	234
ENSG00000004478	125
ENSG00000004487	274
ENSG00000004534	30
ENSG00000004660	35
ENSG00000004700	83
ENSG00000004766	22
ENSG00000004776	45
ENSG00000004777	17
ENSG00000004779	25
ENSG00000004799	64
ENSG00000004809	20
ENSG00000004838	49
ENSG00000004846	51
ENSG00000004848	80
ENSG00000004864	108
ENSG00000004866	36
ENSG00000004897	205
ENSG00000004939	282
ENSG00000004948	94
ENSG00000004961	34
ENSG00000004975	120
ENSG00000005001	12
ENSG00000005007	162
ENSG00000005020	36
ENSG00000005022	118
ENSG00000005059	16
ENSG00000005073	66
ENSG00000005075	121
ENSG00000005100	32
ENSG00000005102	26
ENSG00000005108	26
ENSG00000005156	111
ENSG00000005175	53
ENSG00000005187	30
ENSG00000005189	15
ENSG00000005194	55
ENSG00000005206	24
ENSG00000005238	13
ENSG00000005243	11
ENSG00000005249	102
ENSG00000005302	23
ENSG00000005339	783
ENSG00000005379	13
ENSG00000005381	562
ENSG00000005421	1073
ENSG00000005436	28
ENSG00000005448	11
ENSG00000005469	22
ENSG00000005471	128
ENSG00000005483	34
ENSG00000005486	22
ENSG00000005513	24
ENSG00000005700	28
ENSG00000005801	13
ENSG00000005810	76
ENSG00000005812	28
ENSG00000005844	193
ENSG00000005882	53
ENSG00000005884	220
ENSG00000005889	49
ENSG00000005893	152
ENSG00000005961	397
ENSG00000005981	15
ENSG00000006007	28
ENSG00000006015	13
ENSG00000006016	25
ENSG00000006025	18
ENSG00000006042	15
ENSG00000006047	19
ENSG00000006059	11
ENSG00000006062	150
ENSG00000006071	227
ENSG00000006116	19
ENSG00000006118	16
ENSG00000006125	119
ENSG00000006128	199
ENSG00000006194	14
ENSG00000006210	256
ENSG00000006282	14
ENSG00000006283	53
ENSG00000006327	102
ENSG00000006377	23
ENSG00000006432	21
ENSG00000006451	118
ENSG00000006453	45
ENSG00000006459	13
ENSG00000006468	90
ENSG00000006530	49
ENSG00000006534	27
ENSG00000006555	3
ENSG00000006576	17
ENSG00000006606	85
ENSG00000006607	23
ENSG00000006611	64
ENSG00000006625	36
ENSG00000006634	44
ENSG00000006638	148
ENSG00000006652	50
ENSG00000006659	10
ENSG00000006695	27
ENSG00000006704	48
ENSG00000006712	75
ENSG00000006715	38
ENSG00000006740	20
ENSG00000006744	68
ENSG00000006747	29
ENSG00000006756	12
ENSG00000006757	20
ENSG00000006788	16
ENSG00000006831	143
ENSG00000006837	18
ENSG00000007001	15
ENSG00000007038	18
ENSG00000007047	42
ENSG00000007062	499
ENSG00000007080	20
ENSG00000007129	7
ENSG00000007168	147
ENSG00000007171	755
ENSG00000007174	23
ENSG00000007202	15
ENSG00000007216	23
ENSG00000007237	41
ENSG00000007255	20
ENSG00000007264	50
ENSG00000007306	33
ENSG00000007312	74
ENSG00000007314	122
ENSG00000007341	13
ENSG00000007350	51
ENSG00000007372	300
ENSG00000007376	6
ENSG00000007384	20
ENSG00000007392	44
ENSG00000007402	28
ENSG00000007516	17
ENSG00000007520	9
ENSG00000007541	22
ENSG00000007545	9
ENSG00000007866	32
ENSG00000007908	426
ENSG00000007923	31
ENSG00000007933	108
ENSG00000007944	50
ENSG00000007952	193
ENSG00000007968	93
ENSG00000008018	120
ENSG00000008056	69
ENSG00000008083	48
ENSG00000008086	86
ENSG00000008118	18
ENSG00000008128	65
ENSG00000008130	32
ENSG00000008196	84
ENSG00000008197	9
ENSG00000008226	23
ENSG00000008256	28
ENSG00000008277	34
ENSG00000008282	23
ENSG00000008283	22
ENSG00000008294	76
ENSG00000008300	24
ENSG00000008311	25
ENSG00000008323	14
ENSG00000008324	6
ENSG00000008382	2
ENSG00000008394	40
ENSG00000008405	92
ENSG00000008438	38
ENSG00000008441	47
ENSG00000008513	45
ENSG00000008516	28
ENSG00000008517	151
ENSG00000008710	259
ENSG00000008735	35
ENSG00000008838	57
ENSG00000008853	43
ENSG00000008869	16
ENSG00000008952	31
ENSG00000008988	93
ENSG00000009307	63
