interface_area	number_of_contacts	number_of_screens	uniprot_ac_a	uniprot_ac_b
310.210205078	17	2	P23511	Q13952
729.5483398439999	32	3	P23511	P25208
2359.93286133	139	4	P25208	Q13952
1599.41186523	108	4	P52655	P52657
698.8581542969999	43	3	Q9NPI6	Q9NPJ4
1233.02307129	59	2	Q07817	Q92934
1123.38464355	74	3	Q07817	Q16611
1372.13720703	58	3	O43521	Q07817
1411.70361328	92	3	Q13257	Q9Y6D9
1089.33837891	64	2	Q13257	Q15013
1801.91308594	103	2	O14964	Q92783
1100.51586914	71	5	P62877	Q92990
2501.17138672	136	3	O60341	Q9P2K3
1660.60620117	94	2	P01106	P61244
3187.93652344	180	3	P17980	P62333
1774.25805664	99	1	O15234	P38919
1144.71484375	72	3	P54619	Q9Y478
907.3803710939999	54	4	O43741	P54619
1566.10009766	98	3	P54619	P54646
730.51550293	42	2	O60573	Q13541
1275.24975586	74	5	P06730	Q13541
1183.00390625	62	4	Q12933	Q13077
501.01330566400003	37	3	P25942	Q12933
730.303710938	48	1	Q12933	Q15628
502.109130859	34	2	O00214	Q13137
957.0727539060001	58	2	P62491	Q9ULV0
464.211425781	23	4	O43687	P13861
646.025390625	43	1	P24588	Q08209
634.146179199	34	1	P49407	P63010
653.756774902	37	2	P63010	Q5SW96
821.423217773	53	6	P26368	Q01081
4040.65087891	248	3	P54646	Q9Y478
3721.18945312	221	1	O43741	P54646
2734.85791016	186	1	O00311	Q9UBU7
1766.42919922	120	3	Q8N7H5	Q8WVC0
1212.54638672	67	3	O43617	O75865
1317.97973633	73	3	Q15691	Q9UPY8
474.763366699	28	2	P48552	P62508
349.960449219	17	2	P20618	P25786
1330.87304688	88	1	P25786	P25788
421.521484375	36	2	P07992	P23025
879.5649414060001	58	3	P20618	P28070
1027.62805176	63	2	Q8N488	Q99496
1089.98583984	70	3	O75593	P84022
1738.5838623	112	4	O43679	P25791
620.808105469	35	3	P67870	P68400
688.316955566	39	1	Q7LBR1	Q9NP79
1733.71118164	110	4	O43148	Q9BTL3
962.386474609	64	6	P55273	Q00534
958.754882812	52	3	P28702	Q13133
904.2631835939999	44	3	P28702	P55055
1921.9453125	103	2	P43686	P62195
1331.53710938	71	6	O75832	P43686
1520.86279297	79	3	P63027	Q16623
524.0852050780001	32	2	P61077	Q99496
1736.52392578	112	5	P25791	Q86U70
277.074707031	11	4	O43809	Q16630
258.232666016	9	3	O43809	Q8N684
983.099853516	52	3	O00327	O15516
423.08691406199995	26	5	Q13155	Q15046
902.62109375	59	2	P20338	Q9H1K0
729.444274902	49	1	Q16548	Q16611
555.608093262	33	1	P62993	Q9UQC2
606.105102539	33	2	P40855	P56589
697.513427734	39	3	Q9H0R8	Q9Y4P1
421.841796875	23	4	Q9C005	Q9UBL3
