orf_id	ensembl_transcript_id	ensembl_protein_id	ensembl_gene_id	symbol
1	ENST00000272298.11	ENSP00000272298.7	ENSG00000143933.16	CALM2
1	ENST00000356978.8	ENSP00000349467.4	ENSG00000198668.10	CALM1
1	ENST00000291295.13	ENSP00000291295.8	ENSG00000160014.16	CALM3
2	ENST00000327247.9	ENSP00000314508.5	ENSG00000177628.15	GBA
3	ENST00000222547.7	ENSP00000222547.3	ENSG00000105829.11	BET1
4	ENST00000264935.5	ENSP00000264935.5	ENSG00000112877.7	CEP72
6	ENST00000530705.5	ENSP00000431872.1	ENSG00000133112.16	TPT1
7	ENST00000247843.6	ENSP00000247843.2	ENSG00000127337.6	YEATS4
8	ENST00000255764.3	ENSP00000255764.3	ENSG00000133398.3	MED10
9	ENST00000373953.7	ENSP00000363064.3	ENSG00000065029.14	ZNF76
10	ENST00000203630.9	ENSP00000203630.5	ENSG00000089693.10	MLF2
13	ENST00000415287.5	ENSP00000413796.1	ENSG00000146828.17	SLC12A9
14	ENST00000357348.9	ENSP00000349906.6	ENSG00000022277.12	RTFDC1
17	ENST00000267115.9	ENSP00000267115.5	ENSG00000139644.12	TMBIM6
18	ENST00000263239.6	ENSP00000263239.2	ENSG00000088205.12	DDX18
19	ENST00000216122.8	ENSP00000216122.3	ENSG00000100297.15	MCM5
20	ENST00000393114.7	ENSP00000376823.3	ENSG00000122783.16	C7orf49
22	ENST00000399395.7	ENSP00000382327.3	ENSG00000100445.17	SDR39U1
24	ENST00000303436.10	ENSP00000306010.6	ENSG00000168374.10	ARF4
25	ENST00000262613.9	ENSP00000262613.5	ENSG00000109062.11	SLC9A3R1
26	ENST00000325495.8	ENSP00000325376.2	ENSG00000099783.11	HNRNPM
34	ENST00000264335.12	ENSP00000264335.8	ENSG00000108953.16	YWHAE
35	ENST00000419869.6	ENSP00000392270.2	ENSG00000023734.10	STRAP
36	ENST00000311052.9	ENSP00000311847.4	ENSG00000153048.10	CARHSP1
38	ENST00000260379.10	ENSP00000346037.5	ENSG00000137818.11	RPLP1
39	ENST00000250559.13	ENSP00000250559.9	ENSG00000127314.17	RAP1B
42	ENST00000409784.7	ENSP00000387286.3	ENSG00000138069.16	RAB1A
45	ENST00000339507.9	ENSP00000343103.5	ENSG00000132600.16	PRMT7
46	ENST00000295901.8	ENSP00000295901.4	ENSG00000163636.10	PSMD6
47	ENST00000368521.9	ENSP00000357507.4	ENSG00000143612.19	C1orf43
48	ENST00000374517.5	ENSP00000363641.5	ENSG00000136810.12	TXN
49	ENST00000264995.7	ENSP00000264995.2	ENSG00000114686.8	MRPL3
52	ENST00000188376.9	ENSP00000188376.5	ENSG00000075415.12	SLC25A3
57	ENST00000302631.7	ENSP00000307275.3	ENSG00000116521.10	SCAMP3
58	ENST00000313117.10	ENSP00000325905.6	ENSG00000115875.18	SRSF7
59	ENST00000196489.3	ENSP00000196489.2	ENSG00000083817.8	ZNF416
60	ENST00000271843.8	ENSP00000271843.4	ENSG00000143543.14	JTB
61	ENST00000407627.6	ENSP00000385269.1	ENSG00000066044.14	ELAVL1
65	ENST00000388835.3	ENSP00000373487.3	ENSG00000111057.10	KRT18
67	ENST00000329399.6	ENSP00000360305.3	ENSG00000107438.8	PDLIM1
69	ENST00000224237.9	ENSP00000224237.5	ENSG00000026025.15	VIM
70	ENST00000305560.10	ENSP00000305494.6	ENSG00000171763.18	SPATA5L1
72	ENST00000234038.10	ENSP00000234038.6	ENSG00000115685.14	PPP1R7
78	ENST00000370098.4	ENSP00000359116.3	ENSG00000125531.6	FNDC11
79	ENST00000367577.6	ENSP00000356549.4	ENSG00000162783.10	IER5
80	ENST00000355897.9	ENSP00000348161.5	ENSG00000173890.16	GPR160
